"tconst","averagerating","numvotes"
"tt2815072","4.9000","3520"
"tt2815294","7.3000","21"
"tt2815902","6.2000","4974"
"tt2820708","6.8000","6"
"tt2826124","6.2000","6"
"tt2833074","7.4000","1051"
"tt2833550","8.1000","17"
"tt2835658","5.8000","147"
"tt2846156","7.2000","13"
"tt2847534","8.0000","9"
"tt2848222","7.2000","38"
"tt2852432","7.5000","1555"
"tt2860430","7.3000","39"
"tt2866374","7.4000","9"
"tt2876102","5.2000","118"
"tt2888068","2.7000","191"
"tt2890142","5.1000","9"
"tt2894158","6.8000","212"
"tt2894546","4.9000","9"
"tt2898306","7.7000","535"
"tt2902200","5.8000","29"
"tt2909482","1.3000","147"
"tt2910328","6.7000","318"
"tt2916440","6.0000","45"
"tt2917388","6.1000","17725"
"tt2917770","7.1000","80"
"tt2923554","8.0000","5"
"tt2924478","3.7000","165"
"tt2927086","3.4000","112"
"tt2933002","8.1000","278"
"tt2933292","7.6000","14"
"tt2935662","4.4000","136"
"tt2935962","7.4000","10"
"tt2936296","5.2000","29"
"tt2936470","6.1000","810"
"tt2937910","5.7000","24"
"tt2938796","7.2000","6"
"tt2939094","4.4000","10"
"tt2939738","5.9000","9"
"tt2942016","7.1000","74"
"tt2944970","5.4000","60"
"tt2948790","5.1000","10857"
"tt2949636","6.6000","46"
"tt2951188","6.8000","6"
"tt2953500","6.1000","14"
"tt2953908","7.4000","19"
"tt2955976","5.0000","6"
"tt2960450","6.8000","1203"
"tt2964324","6.9000","309"
"tt2965842","6.0000","1241"
"tt2972122","6.5000","48"
"tt2973536","3.9000","40"
"tt2974712","4.8000","20"
"tt2976182","3.3000","6681"
"tt2979570","5.7000","7"
"tt2980708","5.4000","5164"
"tt2980864","6.0000","9"
"tt2981350","7.4000","5"
"tt2981878","5.7000","21"
"tt2988148","7.8000","8"
"tt2988272","5.8000","5590"
"tt2992538","7.7000","43"
"tt2994212","6.5000","34"
"tt3000458","7.9000","58"
"tt3005822","6.3000","39"
"tt3008816","4.6000","432"
"tt3012550","6.8000","5"
"tt3013930","7.2000","841"
"tt3025278","8.6000","9"
"tt3026224","5.5000","20"
"tt3028018","7.2000","1562"
"tt3029902","6.0000","7"
"tt3031022","7.4000","149"
"tt3032060","5.7000","494"
"tt3033160","2.5000","63"
"tt3040512","8.8000","17"
"tt3046014","7.1000","199"
"tt3062104","6.0000","273"
"tt3063462","7.2000","1190"
"tt3070936","7.1000","2267"
"tt3072732","6.2000","1244"
"tt3072876","7.2000","500"
"tt3074610","6.9000","1833"
"tt3078718","6.6000","785"
"tt3078988","3.8000","29"
"tt3080550","4.8000","6"
"tt3088362","5.3000","234"
"tt3089126","7.6000","18"
"tt3090110","6.6000","57"
"tt3102798","6.8000","431"
"tt3104304","4.3000","2277"
"tt3105510","5.8000","22"
"tt3107254","6.0000","318"
"tt3107658","5.6000","9"
"tt3108604","2.2000","2070"
"tt3111336","7.8000","37"
"tt3112556","7.9000","18"
"tt3116888","6.4000","19"
"tt3117184","5.4000","674"
"tt3119024","6.5000","11"
"tt3120434","7.7000","64"
"tt3122666","7.1000","22"
"tt3128706","6.9000","90"
"tt3129892","5.0000","171"
"tt3130394","5.7000","20"
"tt3132914","7.7000","7"
"tt3134060","6.7000","574"
"tt3134214","5.1000","274"
"tt3134770","8.1000","8"
"tt3135282","7.0000","97"
"tt3135540","7.6000","9"
"tt3138926","8.0000","21"
"tt3154310","5.9000","5340"
"tt3154342","6.7000","67"
"tt3161386","5.9000","71"
"tt3170760","6.9000","76"
"tt3171246","2.5000","751"
"tt3173594","6.2000","7734"
"tt3173910","6.8000","12406"
"tt3176776","6.5000","116"
"tt3177116","3.8000","32"
"tt3180548","5.1000","186"
"tt3181638","6.6000","103"
"tt3182590","6.6000","914"
"tt3182620","6.1000","3057"
"tt3183482","8.5000","6"
"tt3186552","2.9000","212"
"tt3189346","8.4000","8"
"tt3194622","3.7000","134"
"tt3194678","6.4000","154"
"tt3195056","6.4000","109"
"tt3195644","6.1000","82930"
"tt3198244","6.8000","64"
"tt3202042","5.9000","189"
"tt3204366","6.8000","125"
"tt3224440","7.6000","5"
"tt3225732","7.8000","20"
"tt3231686","8.1000","15"
"tt3238462","4.9000","117"
"tt3242756","3.3000","1495"
"tt3246410","7.8000","34"
"tt3248944","8.3000","6"
"tt3253624","7.5000","10815"
"tt3256252","6.8000","25"
"tt3265574","7.1000","13"
"tt3277622","5.1000","65"
"tt3279708","8.1000","8"
"tt3281592","9.1000","170"
"tt3281816","5.9000","7"
"tt3282308","5.7000","134"
"tt3289956","6.8000","76339"
"tt3291148","5.8000","1476"
"tt3292124","6.0000","9"
"tt3292554","3.6000","9"
"tt3299996","8.3000","10"
"tt3300880","8.5000","25"
"tt3301160","4.0000","6"
"tt3301182","4.1000","7"
"tt3302080","5.4000","45"
"tt3305308","5.8000","6640"
"tt3306776","5.7000","1075"
"tt3307320","6.4000","5"
"tt3311014","3.9000","30"
"tt3311354","7.7000","162"
"tt3313864","5.1000","336"
"tt3323304","8.6000","18"
"tt3323318","5.9000","234"
"tt3323714","7.6000","10"
"tt3325098","7.1000","93"
"tt3325766","1.7000","6"
"tt3327556","7.6000","92"
"tt3329774","7.3000","797"
"tt3335458","8.1000","11"
"tt3336094","7.9000","14"
"tt3338310","3.0000","588"
"tt3340618","7.0000","21"
"tt3341952","5.6000","38"
"tt3342430","5.9000","71"
"tt3344712","7.7000","9"
"tt3345474","6.5000","1923"
"tt3346224","5.8000","6120"
"tt3347912","6.6000","83"
"tt3353060","5.8000","1013"
"tt3354302","6.5000","280"
"tt3358304","5.3000","321"
"tt3360828","4.2000","397"
"tt3362768","8.3000","7"
"tt3374866","5.0000","367"
"tt3380264","4.4000","3582"
"tt3387582","5.6000","25"
"tt3393174","7.3000","9"
"tt3393786","6.1000","121892"
"tt3394556","8.0000","5"
"tt3395600","7.3000","12"
"tt3401748","6.4000","2124"
"tt3402192","6.3000","520"
"tt3403142","2.9000","39"
"tt3403352","5.8000","25"
"tt3404246","5.2000","1050"
"tt3406442","8.4000","10"
"tt3407894","3.7000","23"
"tt3415118","8.9000","347"
"tt3415358","5.3000","241"
"tt3417110","6.8000","38"
"tt3419620","7.6000","8"
"tt3420108","5.9000","1393"
"tt3422244","7.6000","8"
"tt3428458","6.1000","28"
"tt3432286","5.4000","241"
"tt3443150","8.8000","8"
"tt3443538","7.1000","28"
"tt3446066","7.4000","25"
"tt3447228","8.3000","39"
"tt3447364","7.6000","14249"
"tt3449302","3.1000","281"
"tt3451330","4.9000","25"
"tt3451716","6.7000","21"
"tt3455082","8.0000","8"
"tt3455434","8.5000","24"
"tt3455822","8.0000","2780"
"tt3455894","6.3000","15"
"tt3457790","6.9000","18"
"tt3461146","5.4000","5"
"tt3463848","4.1000","48"
"tt3465186","5.4000","7"
"tt3467954","7.5000","20"
"tt3468316","7.5000","271"
"tt3471322","8.4000","10"
"tt3471400","8.2000","6"
"tt3471498","6.5000","38"
"tt3472754","9.1000","12"
"tt3473390","6.2000","40"
"tt3476472","4.1000","34"
"tt3476548","8.2000","19"
"tt3476838","6.0000","21"
"tt3477534","8.6000","10"
"tt3477546","6.4000","10"
"tt3478510","7.2000","812"
"tt3478536","5.4000","184"
"tt3480158","6.4000","677"
"tt3480182","5.6000","75"
"tt3483596","3.5000","518"
"tt3484360","6.9000","24"
"tt3484860","7.1000","8"
"tt3485118","8.3000","6"
"tt3486134","4.7000","61"
"tt3487406","6.9000","49"
"tt3496048","6.2000","17"
"tt3501000","6.3000","172"
"tt3503326","8.2000","13"
"tt3507702","6.7000","6"
"tt3507794","6.1000","265"
"tt3511362","7.8000","64"
"tt3520836","6.8000","12"
"tt3524312","6.6000","8"
"tt3524356","7.9000","8"
"tt3524410","3.8000","232"
"tt3524890","7.8000","12"
"tt3526098","5.9000","503"
"tt3528280","7.6000","5"
"tt3528852","4.0000","180"
"tt3529664","5.9000","1393"
"tt3529948","7.9000","7"
"tt3533916","4.8000","6895"
"tt3539664","7.3000","3192"
"tt3543478","5.4000","16"
"tt3546370","7.9000","1165"
"tt3561236","4.9000","1928"
"tt3562532","7.0000","37"
"tt3563146","7.9000","15"
"tt3563156","5.0000","3478"
"tt3563892","3.8000","682"
"tt3565354","4.3000","52"
"tt3567322","6.0000","24"
"tt3568002","7.0000","3592"
"tt3569970","4.5000","1349"
"tt3574352","4.9000","164"
"tt3577616","5.8000","104"
"tt3583370","4.2000","210"
"tt3584954","7.1000","550"
"tt3587202","1.3000","101"
"tt3587714","4.4000","42"
"tt3588082","5.5000","537"
"tt3588104","7.1000","7"
"tt3588212","8.3000","11"
"tt3589450","6.5000","798"
"tt3589968","5.7000","156"
"tt3590150","5.9000","8"
"tt3592196","6.1000","7"
"tt3592210","8.9000","26"
"tt3593810","5.2000","16"
"tt3596272","6.4000","37"
"tt3596318","6.5000","6"
"tt3598196","3.0000","69"
"tt3600468","9.2000","5"
"tt3604628","6.9000","7"
"tt3612802","9.1000","12"
"tt3612936","6.1000","263"
"tt3618276","8.9000","10"
"tt3624544","7.0000","5"
"tt3625930","7.9000","43"
"tt3628574","4.2000","520"
"tt3629024","4.1000","43"
"tt3630800","3.9000","124"
"tt3636528","6.2000","627"
"tt3639656","4.5000","205"
"tt3645958","7.6000","47"
"tt3646540","6.6000","428"
"tt3651804","5.7000","266"
"tt3652664","5.8000","65"
"tt3654026","6.9000","92"
"tt3654396","6.7000","7"
"tt3654796","6.4000","13080"
"tt3657832","5.0000","87"
"tt3658010","6.9000","202"
"tt3665514","6.6000","8"
"tt3665760","4.2000","304"
"tt3666258","6.5000","98"
"tt3671252","8.2000","8"
"tt3671922","5.4000","28"
"tt3680382","7.3000","11"
"tt3681078","7.1000","90"
"tt3681440","7.2000","843"
"tt3681454","5.4000","435"
"tt3685022","4.6000","341"
"tt3685836","4.3000","541"
"tt3686012","8.3000","6"
"tt3690366","6.8000","39"
"tt3692142","6.3000","52"
"tt3692634","4.2000","20"
"tt3696126","5.7000","763"
"tt3696596","9.0000","19"
"tt3697222","5.0000","5"
"tt3700456","5.1000","609"
"tt3700804","6.5000","4577"
"tt3701074","6.4000","66"
"tt3705588","6.4000","45"
"tt3705822","4.8000","3272"
"tt3707488","7.3000","18"
"tt3720468","3.4000","111"
"tt3731580","5.0000","567"
"tt3732024","6.2000","13"
"tt3734096","7.3000","125"
"tt3741824","3.4000","296"
"tt3742926","6.9000","31"
"tt3746684","8.5000","6"
"tt3749926","4.6000","39"
"tt3755914","4.6000","7"
"tt3758104","5.9000","7"
"tt3767208","3.9000","78"
"tt3768602","8.2000","5"
"tt3773210","5.3000","81"
"tt3773362","6.4000","18"
"tt3779300","4.2000","2755"
"tt3779570","7.9000","77"
"tt3783990","7.8000","5"
"tt3784042","6.1000","707"
"tt3785740","6.9000","86"
"tt3789538","6.4000","27"
"tt3791560","7.1000","19"
"tt3791960","8.0000","9"
"tt3793668","5.3000","6"
"tt3793694","8.1000","34"
"tt3796388","7.4000","30"
"tt3796936","4.3000","1253"
"tt3804476","7.8000","43"
"tt3810486","5.7000","6"
"tt3822396","7.8000","4555"
"tt3824458","7.1000","23133"
"tt3824592","7.1000","14"
"tt3824754","4.2000","5"
"tt3827462","2.6000","15"
"tt3827684","4.7000","765"
"tt3831032","7.1000","17"
"tt3832160","5.3000","716"
"tt3833858","8.6000","9"
"tt3837198","4.8000","133"
"tt3837820","6.9000","613"
"tt3838992","4.3000","10483"
"tt3841490","7.8000","36"
"tt3843748","6.5000","350"
"tt3851982","5.4000","5"
"tt3853830","5.7000","599"
"tt3856100","3.8000","63"
"tt3856124","6.5000","236"
"tt3865614","4.4000","110"
"tt3871804","5.3000","10"
"tt3874076","7.8000","30"
"tt3876752","8.4000","5"
"tt3876860","6.1000","117"
"tt3886670","7.8000","45"
"tt3891660","8.6000","60"
"tt3892590","7.7000","6"
"tt3892924","8.5000","6"
"tt3894660","5.2000","10"
"tt3898244","7.1000","12"
"tt3899154","5.9000","944"
"tt3899262","4.1000","1178"
"tt3899872","7.6000","36"
"tt3901962","3.6000","538"
"tt3910582","8.7000","26"
"tt3912068","2.4000","10"
"tt3914454","5.8000","24"
"tt3917044","4.0000","491"
"tt3922754","2.2000","781"
"tt3923082","6.4000","333"
"tt3923662","5.3000","7350"
"tt3948438","5.9000","821"
"tt3949660","6.0000","77234"
"tt3953420","6.3000","35"
"tt3957102","5.0000","5"
"tt3958286","6.8000","38"
"tt3959662","4.1000","30"
"tt3961188","8.2000","63"
"tt3963348","1.2000","82"
"tt3973590","6.0000","145"
"tt3974390","8.8000","23"
"tt3984320","6.9000","250"
"tt3995416","6.6000","538"
"tt7121620","5.6000","203"
"tt7123236","6.7000","13"
"tt7128042","5.5000","410"
"tt7131966","1.0000","76"
"tt7145708","8.7000","14"
"tt7150482","6.2000","22"
"tt7154176","4.0000","123"
"tt7164066","6.7000","296"
"tt7165454","3.9000","105"
"tt7200978","8.8000","6"
"tt7203810","5.5000","19"
"tt7205208","7.2000","1506"
"tt7206654","7.2000","211"
"tt7210264","5.7000","59"
"tt7214842","7.1000","3435"
"tt7216256","6.2000","497"
"tt7220586","2.9000","25"
"tt7221634","7.3000","1051"
"tt7240562","5.5000","120"
"tt7241970","8.5000","6"
"tt7244092","6.5000","52"
"tt7249784","6.3000","68"
"tt7253190","5.5000","91"
"tt7256638","7.1000","15"
"tt7262820","5.7000","136"
"tt7275840","5.7000","11"
"tt7295378","5.7000","237"
"tt7295450","4.8000","4245"
"tt7302296","7.0000","6"
"tt7309402","8.5000","20"
"tt7309928","5.4000","8"
"tt7325184","5.2000","6"
"tt7326102","8.5000","6"
"tt7334904","7.6000","22"
"tt7336410","7.1000","70"
"tt7346798","4.0000","10"
"tt7348204","8.5000","6"
"tt7365604","6.2000","2691"
"tt7367960","7.8000","1728"
"tt7371662","7.2000","5"
"tt7375460","8.1000","22"
"tt7385120","9.6000","5"
"tt7385530","7.4000","85"
"tt7391272","2.1000","9"
"tt7393746","5.9000","109"
"tt7407874","8.9000","8"
"tt7408796","6.2000","96"
"tt7425298","7.3000","148"
"tt7428166","5.2000","82"
"tt7428820","8.6000","21"
"tt7447304","5.9000","142"
"tt7458072","7.6000","7"
"tt7458650","8.2000","8"
"tt7460822","4.0000","6"
"tt7463730","5.7000","639"
"tt7464188","7.0000","763"
"tt7466370","7.3000","418"
"tt7468616","6.2000","82"
"tt7476888","8.7000","12"
"tt7477068","6.5000","235"
"tt7479878","8.5000","11"
"tt7481246","6.5000","176"
"tt7485602","4.6000","485"
"tt7516172","7.9000","14"
"tt7527512","7.1000","32"
"tt7531138","6.9000","41"
"tt7533422","5.4000","109"
"tt7534314","7.8000","697"
"tt7543138","5.2000","9"
"tt7543282","6.7000","10"
"tt7544120","6.0000","23"
"tt7561290","7.6000","10"
"tt7574340","7.7000","46"
"tt7575410","4.0000","57"
"tt7579694","5.6000","5"
"tt7595272","6.5000","30"
"tt7607276","7.2000","39"
"tt7607502","5.5000","35"
"tt7609114","5.2000","826"
"tt7609514","8.6000","8"
"tt7611944","7.7000","20"
"tt7620746","5.6000","185"
"tt7624534","7.7000","57"
"tt7625514","6.6000","62"
"tt7633090","6.2000","23"
"tt7640228","5.8000","48"
"tt7654880","4.9000","26"
"tt7655056","6.7000","6"
"tt7658868","7.2000","391"
"tt7661250","5.3000","42"
"tt7664504","7.7000","15364"
"tt7666724","6.9000","69"
"tt7671036","8.5000","44"
"tt7672188","5.0000","50"
"tt7686676","7.2000","15"
"tt7698370","7.4000","9"
"tt7699198","7.1000","119"
"tt7701808","7.2000","1085"
"tt7703070","6.0000","107"
"tt7714802","7.5000","20"
"tt7733426","6.7000","220"
"tt7748538","4.6000","5"
"tt7755520","7.3000","166"
"tt7757506","5.0000","10"
"tt7769716","6.1000","23"
"tt7780818","6.0000","16"
"tt7787418","5.3000","228"
"tt7810706","6.7000","37"
"tt7816596","9.0000","50"
"tt7817024","7.2000","248"
"tt7821038","6.1000","25"
"tt7822050","6.3000","29"
"tt7831674","6.3000","88"
"tt7833606","6.4000","136"
"tt7838158","5.2000","94"
"tt7851964","5.9000","91"
"tt7852884","4.8000","44"
"tt7856368","8.8000","11"
"tt7862330","7.0000","3085"
"tt7897150","7.3000","12"
"tt7908792","7.3000","31"
"tt7918964","9.2000","5"
"tt7938472","5.2000","14"
"tt7942044","6.3000","49"
"tt7945360","8.0000","116"
"tt7949178","1.9000","131"
"tt7962598","6.6000","218"
"tt7967580","6.0000","167"
"tt7967846","6.5000","22"
"tt7969042","5.6000","347"
"tt7978752","8.8000","12"
"tt7980006","5.8000","496"
"tt7986084","8.2000","5"
"tt8003558","5.6000","181"
"tt8006926","8.4000","162"
"tt8007436","3.5000","202"
"tt8014482","8.2000","69"
"tt8016764","7.0000","108"
"tt8022376","5.2000","6"
"tt8027448","5.0000","13"
"tt8050266","4.8000","174"
"tt8053258","6.0000","722"
"tt8060356","9.2000","16"
"tt8060812","6.0000","8"
"tt8069134","6.1000","111"
"tt8069578","7.4000","90"
"tt8104564","4.0000","20"
"tt8108168","7.3000","383"
"tt8116036","8.7000","6"
"tt8116574","6.8000","376"
"tt8116610","6.5000","40"
"tt8118944","9.7000","32"
"tt8119752","6.1000","2585"
"tt8120072","9.3000","6"
"tt8152986","7.2000","12"
"tt8183418","6.4000","55"
"tt8183556","1.7000","226"
"tt8191464","5.4000","10"
"tt8192824","8.6000","37"
"tt8193876","6.9000","148"
"tt8220326","6.4000","57"
"tt8223250","7.8000","656"
"tt8228588","6.7000","23"
"tt8238250","8.0000","9"
"tt8247470","7.3000","251"
"tt8281226","8.3000","6"
"tt8296602","6.3000","67"
"tt8308900","6.2000","32"
"tt8314254","6.9000","15"
"tt8355778","8.4000","9"
"tt8368032","8.6000","1505"
"tt8368406","7.8000","10"
"tt8380192","6.5000","40"
"tt8387542","3.2000","39"
"tt8389758","8.5000","14"
"tt8389836","4.1000","8"
"tt8413566","8.1000","15"
"tt8421806","7.9000","54"
"tt8426154","1.0000","5"
"tt8453094","5.5000","13"
"tt8457792","6.1000","79"
"tt8481752","9.2000","12"
"tt8488126","7.1000","3666"
"tt8513070","7.9000","67"
"tt8526164","7.5000","106"
"tt8528334","3.7000","28"
"tt8541914","8.0000","14"
"tt8560130","3.4000","14"
"tt8569610","6.4000","10"
"tt8578572","8.5000","6"
"tt8586880","3.7000","64"
"tt8589792","6.8000","68"
"tt8638640","7.4000","551"
"tt8649118","7.9000","7"
"tt8653470","6.3000","18"
"tt8666494","7.7000","25"
"tt8680254","9.1000","28"
"tt8688912","7.9000","508"
"tt8727582","6.8000","6"
"tt8737938","7.5000","101"
"tt8749962","7.0000","493"
"tt8757162","6.1000","21"
"tt8763396","7.1000","13"
"tt8769766","5.8000","70"
"tt8772332","5.2000","5"
"tt8785134","6.9000","372"
"tt8800984","5.3000","6"
"tt8828348","7.9000","291"
"tt8836308","3.3000","9"
"tt8860786","6.4000","94"
"tt8873460","7.4000","8"
"tt8877002","8.7000","7"
"tt8890454","7.6000","28"
"tt8915068","6.5000","72"
"tt8928634","3.8000","12"
"tt8938852","7.3000","75"
"tt8941422","2.9000","371"
"tt8975028","5.8000","1188"
"tt8983762","8.0000","6"
"tt8988988","4.0000","18"
"tt9011132","7.3000","181"
"tt9016006","6.1000","114"
"tt9032866","5.1000","15"
"tt9034290","6.6000","922"
"tt9042456","6.8000","17"
"tt9046850","5.1000","61"
"tt9048968","8.9000","41"
"tt9056824","4.1000","159"
"tt9074110","6.3000","9"
"tt9078374","6.4000","322"
"tt9078990","6.8000","6"
"tt9081472","8.9000","218"
"tt9090170","7.4000","31"
"tt9095324","8.1000","1924"
"tt9099176","8.0000","6"
"tt9110372","6.9000","8"
"tt9133378","7.2000","16"
"tt9135722","1.9000","24"
"tt9155302","5.0000","6"
"tt9165666","8.1000","12"
"tt9178986","5.6000","11"
"tt9182284","5.4000","36"
"tt9204408","5.0000","253"
"tt9206516","7.8000","5"
"tt9213932","6.9000","137"
"tt9225052","7.1000","36"
"tt9230582","7.2000","18"
"tt9247166","6.8000","5"
"tt9256418","8.2000","6"
"tt9260454","8.6000","11"
"tt9278074","2.9000","106"
"tt9288776","7.4000","442"
"tt9292510","6.8000","74"
"tt9315000","6.5000","61"
"tt9315112","8.5000","13"
"tt9348802","8.9000","8"
"tt9355184","8.2000","23"
"tt9378760","6.9000","30"
"tt9411324","7.6000","5"
"tt9456372","5.2000","41"
"tt9526932","7.1000","112"
"tt9584906","6.2000","32"
"tt9615016","5.4000","403"
"tt9617546","5.6000","559"
"tt9676940","4.3000","23"
"tt9690420","6.5000","13"
"tt9703854","7.2000","33"
"tt9777008","6.2000","18"
"tt9820594","5.6000","100"
"tt9822862","4.3000","9"
"tt9853264","6.7000","18"
"tt9887130","3.2000","17"
"tt9899860","8.1000","7"
"tt9900388","7.8000","8"
"tt0297400","6.7000","77"
"tt0328810","7.9000","61"
"tt0451108","6.3000","313"
"tt0463311","3.2000","374"
"tt0475239","7.9000","23"
"tt0480239","5.7000","12524"
"tt0482461","5.9000","3846"
"tt0485985","5.9000","31815"
"tt0490075","5.1000","271"
"tt0491152","5.9000","54314"
"tt0496375","3.7000","1106"
"tt0772179","4.5000","95"
"tt0787442","7.1000","3733"
"tt0790663","7.5000","4052"
"tt0804497","7.1000","125583"
"tt0810922","6.3000","48393"
"tt0815101","7.1000","68"
"tt0815236","6.4000","117245"
"tt0850677","4.5000","2538"
"tt0875613","2.7000","404"
"tt0875702","8.6000","14"
"tt0887266","8.3000","13"
"tt0893412","5.6000","13644"
"tt0906327","7.1000","15"
"tt0934446","3.8000","299"
"tt0954947","6.1000","31727"
"tt0960727","4.2000","22"
"tt0973809","3.4000","164"
"tt10011270","8.1000","21"
"tt10011412","7.2000","13"
"tt10050274","7.1000","8"
"tt10054544","8.3000","10"
"tt10140138","3.3000","29"
"tt10160814","7.4000","10"
"tt1820720","4.3000","158"
"tt1820728","5.8000","5"
"tt1821353","7.3000","60"
"tt1821384","5.7000","13"
"tt1821527","6.2000","18"
"tt1823746","5.5000","34"
"tt1824925","7.6000","5"
"tt1825728","3.4000","432"
"tt1826692","8.2000","54"
"tt1826720","5.0000","191"
"tt1827425","6.5000","60"
"tt1827509","6.9000","42"
"tt1827578","6.0000","1581"
"tt1828224","6.2000","378"
"tt1828325","7.0000","10"
"tt1830553","7.4000","7"
"tt1831772","7.7000","7"
"tt1833056","5.5000","102"
"tt1833757","6.3000","6"
"tt1836010","7.7000","39"
"tt1836218","7.1000","9"
"tt1838571","6.5000","9158"
"tt1838638","7.8000","5"
"tt1839564","5.3000","10"
"tt1839591","5.2000","4909"
"tt1840943","8.2000","8"
"tt1841542","7.5000","5900"
"tt1841604","7.8000","14"
"tt1841713","6.0000","566"
"tt1842507","7.8000","8"
"tt1843196","5.1000","21"
"tt1843221","4.6000","326"
"tt1843309","1.2000","303"
"tt1843866","7.8000","666252"
"tt1844665","7.7000","10"
"tt1846531","3.8000","9"
"tt1847755","8.6000","5"
"tt1848913","3.9000","15"
"tt1849027","5.8000","1082"
"tt1853701","5.5000","17"
"tt1855389","4.5000","58"
"tt1861445","5.1000","1214"
"tt1862079","7.0000","111907"
"tt1863132","7.1000","64"
"tt1863268","5.7000","395"
"tt1863441","7.7000","18"
"tt1865393","4.8000","1239"
"tt1865407","5.0000","25"
"tt1865517","8.3000","6"
"tt1866919","5.6000","572"
"tt1867101","6.4000","1866"
"tt1869525","6.7000","9"
"tt1869759","4.6000","117"
"tt1870538","7.2000","106"
"tt1871361","8.9000","8"
"tt1872880","6.5000","4541"
"tt1876227","2.0000","13"
"tt1877894","5.6000","76"
"tt1878841","4.4000","12435"
"tt1883168","6.0000","282"
"tt1883367","2.8000","12577"
"tt1884447","7.2000","234"
"tt1885361","7.1000","7"
"tt1885392","6.4000","8"
"tt1886486","6.5000","10"
"tt1886680","3.7000","296"
"tt1886693","6.1000","69"
"tt1886755","7.6000","16"
"tt1887784","6.4000","61"
"tt1891885","5.1000","137"
"tt1891956","7.6000","120"
"tt1894616","6.4000","577"
"tt1894622","8.5000","19"
"tt1899285","4.3000","1590"
"tt1900960","5.3000","118"
"tt1900965","6.6000","5"
"tt1906351","6.6000","41"
"tt1906474","5.3000","7"
"tt1906518","7.0000","1561"
"tt1907699","8.4000","21"
"tt1907721","5.8000","6"
"tt1907730","3.9000","57"
"tt1908604","7.2000","13"
"tt1909333","6.9000","73"
"tt1912421","7.1000","54"
"tt1913022","4.8000","5"
"tt1913136","6.9000","75"
"tt1918886","2.6000","4552"
"tt1918987","5.8000","41"
"tt1920871","6.6000","138"
"tt1920984","6.2000","248"
"tt1921078","6.5000","2497"
"tt1922793","3.2000","5"
"tt1924298","5.1000","18"
"tt1926970","6.4000","43"
"tt1927021","8.0000","6"
"tt1927067","6.3000","368"
"tt1928225","8.8000","9"
"tt1929449","6.8000","340"
"tt1930467","7.2000","47"
"tt1931544","5.4000","168"
"tt1932691","3.8000","16"
"tt1937222","6.5000","542"
"tt1937245","6.2000","5"
"tt1942802","7.2000","155"
"tt1946177","5.4000","628"
"tt1949593","6.4000","5"
"tt1954315","6.8000","14518"
"tt1955015","8.5000","37"
"tt1956603","6.7000","7"
"tt1959468","6.6000","451"
"tt1961498","5.0000","37"
"tt1961603","3.6000","5"
"tt1966410","6.7000","15"
"tt1967478","3.9000","26"
"tt1967614","5.7000","5875"
"tt1971310","3.2000","280"
"tt1972761","6.0000","68"
"tt1974319","7.8000","95"
"tt1974393","4.4000","998"
"tt1975128","3.6000","8"
"tt1975159","4.8000","13648"
"tt1976558","7.1000","867"
"tt1976989","5.7000","8572"
"tt1977032","8.5000","8"
"tt1980178","8.0000","15"
"tt1980287","5.9000","7"
"tt1980999","6.7000","953"
"tt1981142","6.9000","377"
"tt1982866","5.1000","18"
"tt1984177","6.0000","1217"
"tt1985260","8.7000","29"
"tt1987010","6.6000","32"
"tt1987621","7.5000","17"
"tt1988160","5.5000","14"
"tt1988604","7.8000","17"
"tt1990976","5.2000","103"
"tt1991047","7.1000","26"
"tt1991180","3.6000","109"
"tt1995415","5.6000","62"
"tt1999834","5.5000","207"
"tt2004172","6.8000","22"
"tt2004402","5.9000","9"
"tt2006040","5.9000","13315"
"tt2006716","8.7000","17"
"tt2008670","7.4000","7"
"tt2008689","7.9000","10"
"tt2009406","5.2000","279"
"tt2009592","5.7000","183"
"tt2011311","6.3000","16050"
"tt2016868","7.7000","27"
"tt2017038","6.9000","70888"
"tt2017634","6.3000","1089"
"tt2023659","5.2000","144"
"tt2024559","7.2000","20"
"tt2027251","8.4000","21"
"tt2028550","7.4000","177"
"tt2039360","6.9000","133"
"tt2040555","6.8000","12"
"tt2041328","5.6000","68"
"tt2041335","5.5000","93"
"tt2041423","7.8000","15"
"tt2041488","5.2000","4217"
"tt2043829","6.6000","88"
"tt2043933","6.0000","12621"
"tt2044843","7.2000","12"
"tt2048777","6.1000","20"
"tt2050499","4.5000","88"
"tt2050601","7.0000","26"
"tt2053447","5.6000","57"
"tt2053463","7.1000","168466"
"tt2055792","8.0000","12"
"tt2056757","4.3000","170"
"tt2057435","8.0000","10"
"tt2057455","7.3000","324"
"tt2061665","3.3000","7"
"tt2062681","7.8000","41"
"tt2069798","4.4000","307"
"tt2069920","6.3000","88"
"tt2070707","8.9000","23"
"tt2071650","7.5000","51"
"tt2072217","6.0000","5"
"tt2072268","4.9000","446"
"tt2073138","3.7000","261"
"tt2075276","6.3000","115"
"tt2075298","6.4000","8"
"tt2076216","3.7000","649"
"tt2077762","5.7000","27"
"tt2078595","8.4000","19"
"tt2079482","5.3000","6"
"tt2079539","5.5000","11"
"tt2083135","6.2000","757"
"tt2083374","7.8000","37"
"tt2083395","8.8000","8"
"tt2084997","5.2000","146"
"tt2085865","7.2000","191"
"tt2087862","7.9000","36"
