"region","indicator","Unit","Date","Value"
"Mtwara","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","23"
"Mtwara","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","15"
"Mtwara","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","19"
"Mtwara","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","20"
"Mtwara","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","20"
"Mtwara","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","29"
"Mtwara","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","23"
"Mtwara","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","29"
"Mtwara","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","27"
"Mtwara","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","30"
"Mtwara","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","34"
"Musoma","Total Water production (cubic metres)","cubic meters","2009","3850894"
"Musoma","Total Water production (cubic metres)","cubic meters","2010","3848175"
"Musoma","Total Water production (cubic metres)","cubic meters","2011","3717139"
"Musoma","Total Water production (cubic metres)","cubic meters","2012","3840910"
"Musoma","Estimated Water Demand (cubic metres)","cubic meters","2009","8640000"
"Musoma","Revenue Collection (Tshs)","Tshs","2009","1024353259"
"Musoma","Revenue Collection (Tshs)","Tshs","2010","1247335118"
"Musoma","Revenue Collection (Tshs)","Tshs","2011","1354049964"
"Musoma","Revenue Collection (Tshs)","Tshs","2012","1470169446"
"Mwanza","Total Water production (cubic metres)","cubic meters","2009","20581248"
"Mwanza","Total Water production (cubic metres)","cubic meters","2010","23492486"
"Mwanza","Total Water production (cubic metres)","cubic meters","2011","22966066"
"Mwanza","Total Water production (cubic metres)","cubic meters","2012","22912029"
"Mwanza","Estimated Water Demand (cubic metres)","cubic meters","2009","829440"
"Mwanza","Revenue Collection (Tshs)","Tshs","2009","5921170292"
"Mwanza","Revenue Collection (Tshs)","Tshs","2010","7304948210"
"Mwanza","Revenue Collection (Tshs)","Tshs","2011","9461022328"
"Mwanza","Revenue Collection (Tshs)","Tshs","2012","12025412228"
"Mwanza","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","74"
"Mwanza","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","71"
"Mwanza","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","77"
"Mwanza","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","72"
"Mwanza","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","82"
"Mwanza","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","78"
"Mwanza","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","105"
"Mwanza","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","127"
"Mwanza","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","136"
"Mwanza","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","132"
"Mwanza","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","151"
"Mwanza","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","173"
"Mwanza","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","192"
"Mwanza","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","215"
"Mwanza","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","201"
"Mwanza","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","224"
"Pwani","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","6"
"Pwani","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","6"
"Pwani","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","6"
"Pwani","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","6"
"Pwani","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","1"
"Pwani","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","1"
"Pwani","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","1"
"Pwani","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","6"
"Pwani","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","6"
"Pwani","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","7"
"Pwani","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","0"
"Pwani","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","0"
"Pwani","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","136"
"Pwani","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","121"
"Rukwa","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","10"
"Rukwa","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","10"
"Rukwa","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","10"
"Rukwa","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","9"
"Rukwa","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","8"
"Rukwa","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","8"
"Rukwa","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","9"
"Rukwa","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","9"
"Rukwa","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","9"
"Rukwa","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","11"
"Rukwa","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","12"
"Rukwa","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","11"
"Rukwa","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","12"
"Rukwa","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","17"
"Rukwa","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","19"
"Rukwa","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","19"
"Ruvuma","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","11"
"Ruvuma","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","10"
"Ruvuma","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","11"
"Ruvuma","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","10"
"Ruvuma","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","9"
"Ruvuma","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","9"
"Ruvuma","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","11"
"Ruvuma","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","13"
"Ruvuma","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","13"
"Ruvuma","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","13"
"Ruvuma","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","14"
"Ruvuma","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","15"
"Ruvuma","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","15"
"Ruvuma","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","21"
"Ruvuma","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","21"
"Ruvuma","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","24"
"Shinyanga","Total Water production (cubic metres)","cubic meters","2009","3735376"
"Shinyanga","Total Water production (cubic metres)","cubic meters","2010","3491099"
"Shinyanga","Total Water production (cubic metres)","cubic meters","2011","2983817"
"Shinyanga","Total Water production (cubic metres)","cubic meters","2012","3009409"
"Shinyanga","Estimated Water Demand (cubic metres)","cubic meters","2009","7140997"
"Shinyanga","Revenue Collection (Tshs)","Tshs","2009","1288835335"
"Shinyanga","Revenue Collection (Tshs)","Tshs","2010","1506671775"
"Shinyanga","Revenue Collection (Tshs)","Tshs","2011","1963006961"
"Shinyanga","Revenue Collection (Tshs)","Tshs","2012","2099942920"
"Shinyanga","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","41"
"Shinyanga","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","39"
"Shinyanga","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","43"
"Shinyanga","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","40"
"Shinyanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","38"
"Shinyanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","36"
"Shinyanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","142"
"Shinyanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","174"
"Shinyanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","176"
"Shinyanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","177"
"Shinyanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","195"
"Shinyanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","196"
"Shinyanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","253"
"Shinyanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","313"
"Shinyanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","310"
"Shinyanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","279"
"Singida","Total Water production (cubic metres)","cubic meters","2009","1729854"
"Singida","Total Water production (cubic metres)","cubic meters","2010","1527053"
"Singida","Total Water production (cubic metres)","cubic meters","2011","1326238"
"Singida","Total Water production (cubic metres)","cubic meters","2012","1414895"
"Singida","Estimated Water Demand (cubic metres)","cubic meters","2009","2574000"
"Singida","Revenue Collection (Tshs)","Tshs","2009","455045230"
"Singida","Revenue Collection (Tshs)","Tshs","2010","500960728"
"Singida","Revenue Collection (Tshs)","Tshs","2011","580684186"
"Singida","Revenue Collection (Tshs)","Tshs","2012","727162830"
"Singida","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","10"
"Singida","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","10"
"Singida","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","10"
"Singida","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","9"
"Singida","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","11"
"Singida","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","12"
"Singida","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","13"
"Singida","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","15"
"Singida","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","18"
"Singida","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","46"
"Singida","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","28"
"Singida","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","18"
"Singida","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","26"
"Singida","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","26"
"Singida","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","23"
"Singida","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","29"
"Songea","Total Water production (cubic metres)","cubic meters","2009","2225611"
"Songea","Total Water production (cubic metres)","cubic meters","2010","2361703"
"Songea","Total Water production (cubic metres)","cubic meters","2011","2669799"
"Songea","Total Water production (cubic metres)","cubic meters","2012","2700505"
"Songea","Estimated Water Demand (cubic metres)","cubic meters","2009","3095940"
"Songea","Revenue Collection (Tshs)","Tshs","2009","730780010"
"Songea","Revenue Collection (Tshs)","Tshs","2010","734974362"
"Songea","Revenue Collection (Tshs)","Tshs","2011","986463073"
"Songea","Revenue Collection (Tshs)","Tshs","2012","985786335"
"Sumbawanga","Total Water production (cubic metres)","cubic meters","2009","1840800"
"Sumbawanga","Total Water production (cubic metres)","cubic meters","2010","1763680"
"Sumbawanga","Total Water production (cubic metres)","cubic meters","2011","1669100"
"Sumbawanga","Total Water production (cubic metres)","cubic meters","2012","1708956"
"Sumbawanga","Estimated Water Demand (cubic metres)","cubic meters","2009","2928000"
"Sumbawanga","Revenue Collection (Tshs)","Tshs","2009","336482500"
"Sumbawanga","Revenue Collection (Tshs)","Tshs","2010","402940915"
"Sumbawanga","Revenue Collection (Tshs)","Tshs","2011","456552113"
"Sumbawanga","Revenue Collection (Tshs)","Tshs","2012","617133945"
"Tabora","Total Water production (cubic metres)","cubic meters","2009","4291665"
"Tabora","Total Water production (cubic metres)","cubic meters","2010","4149561"
"Tabora","Total Water production (cubic metres)","cubic meters","2011","3767712"
"Tabora","Total Water production (cubic metres)","cubic meters","2012","4013737"
"Tabora","Estimated Water Demand (cubic metres)","cubic meters","2009","8415000"
"Tabora","Revenue Collection (Tshs)","Tshs","2009","1089550702"
"Tabora","Revenue Collection (Tshs)","Tshs","2010","1340824081"
"Tabora","Revenue Collection (Tshs)","Tshs","2011","1393944777"
"Tabora","Revenue Collection (Tshs)","Tshs","2012","2127947751"
"Tabora","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","22"
"Tabora","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","21"
"Tabora","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","23"
"Tabora","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","22"
"Tabora","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","72"
"Tabora","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","49"
"Tabora","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","52"
"Tabora","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","111"
"Tabora","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","67"
"Tabora","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","71"
"Tabora","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","37"
"Tabora","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","98"
"Tabora","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","84"
"Tabora","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","97"
"Tabora","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","95"
"Tabora","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","103"
"Tanga","Total Water production (cubic metres)","cubic meters","2009","9564823"
"Tanga","Total Water production (cubic metres)","cubic meters","2010","9513697"
"Tanga","Total Water production (cubic metres)","cubic meters","2011","9929713"
"Tanga","Total Water production (cubic metres)","cubic meters","2012","10613741"
"Tanga","Estimated Water Demand (cubic metres)","cubic meters","2009","9784675"
"Tanga","Revenue Collection (Tshs)","Tshs","2009","3731585972"
"Tanga","Revenue Collection (Tshs)","Tshs","2010","3696449819"
"Tanga","Revenue Collection (Tshs)","Tshs","2011","4403689730"
"Tanga","Revenue Collection (Tshs)","Tshs","2012","4859604244"
"Tanga","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","133"
"Tanga","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","127"
"Tanga","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","138"
"Tanga","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","129"
"Tanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","89"
"Tanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","101"
"Tanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","126"
"Tanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","143"
"Tanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","156"
"Tanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","154"
"Tanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","165"
"Tanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","169"
"Tanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","166"
"Tanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","209"
"Tanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","219"
"Tanga","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","245"
"Zanzibar","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","86"
"Zanzibar","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","89"
"Zanzibar","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","104"
"Zanzibar","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","115"
"Zanzibar","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","105"
"Zanzibar","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","127"
"Zanzibar","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","133"
"Zanzibar","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","161"
"Zanzibar","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","185"
"Zanzibar","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","204"
"Zanzibar","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","231"
"Zanzibar","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","229"
"Zanzibar","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","186"
"Zanzibar","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","174"
"Zanzibar","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","277"
"Zanzibar","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","299"
