id	synopsis	rating	genre	director	writer	theater_date	dvd_date	currency	box_office	runtime	studio
602	"In flashback, we learn how nerdish computer whiz Bernard Hill has gotten himself involved with nasty gang boss Richard Hope. When Hill's wife leaves him and his stepson, he gets drunk and loses his job; before he cleans out his desk, he sells one of his ""worthless"" computer tapes to Hope. The latter kidnaps Hill's son, forcing the computer geek to do a printout of the tape. The information contained therein turns out to be a map of the National General Bank security system. From this point onward, be prepared for lots of twists, double-crosses and surprises. The question posed by Bellman &amp; Ture: will Bernard Hill, sucked into the criminal gang, retain his own honesty despite big-money temptation?"	R	Drama	Richard Loncraine	Desmond Lowden|Richard Loncraine|Michael Wearing					112 minutes	
603	"R&amp;B; star Janet Jackson made an impressive film debut in Poetic Justice as Justice, a hairdresser at a small salon in South Central Los Angeles. Justice uses her poetry to deal with her grief after her boyfriend is killed in a shooting incident at a drive-in. Hired to work at a hair stylists' event in Oakland, Justice is stranded when her car breaks down, until she remembers that her friend Ieasha (Regina King) was going to hop a ride down to Oakland with her boyfriend Chicago (Joe Torry), a postal worker who is heading there with a truck full of mail. Justice tags along to discover that Chicago's driving partner is Lucky (Tupac Shakur), the postman who delivers mail to her shop and keeps asking her out. Ieasha and Chicago have to deal with their own rocky relationship while Justice has to decide if she's ready for a new love -- and if Lucky is the man she's waiting for. Along with strong work from Jackson, Poetic Justice features a surprising turn from Shakur, whose nuanced performance as Lucky is in strong contrast to his ""Thug Life"" public persona. Justice's poems were written by Maya Angelou, who also appears in a small role."	R	Drama	John Singleton	John Singleton	Jul 23, 1993	May 8, 2001			104 minutes	
604	Produced in association with the publishers of F.E.D.S. Magazine, a streetwise journal that prints the bitter truth about crime and gang life in urban America, this documentary examines how the magazine came to be, as well as presenting onscreen versions of some of the most powerful stories from F.E.D.S. F.E.D.S. features segments on the origins of Los Angeles' most feared street gangs, the Bloods and the Crips; a visit with notorious hustler and street basketball legend Pee Wee Kirkland; the truth about pit bulls, in which we see how the animals are bred, raised, and trained to fight in underground competitions; and a trip to Kingston, Jamaica, to investigate the island's most feared criminal gang, the Jamaican Shottas.	R	Documentary|Musical and Performing Arts|Special Interest	Kwame Amoaku		Dec 31, 2003	May 4, 2004			86 minutes	
605	Saturday Night Live star Chris Farley had his first starring role in this frankly lowbrow comedy, which teamed him with fellow SNL cast member David Spade. Big Tom Callahan (Brian Dennehy) is the street-smart owner of a company that makes auto parts, and one day he'd like his son Tommy Callahan III (Chris Farley) to take over the business. Trouble is, Tommy Boy is a fat, dim-witted slob who took seven years to get a business degree and has no idea how to run a business. His father's sudden death unexpectedly puts Tommy Boy in charge, with his dad's weasely assistant Richard (David Spade) trying to guide him. However, what no one knows is Big Tom's wife, the young and beautiful Beverly (Bo Derek), married him only for his money while holding on to her lover, Paul (Rob Lowe), whose presence she explains by telling people he's her son. Beverly and Paul are waiting for Tommy Boy to run the company into the ground so they can take over, sell it off and earn a quick payoff. However, what Tommy Boy lacks in smarts (and hygiene), he makes up for in determination, and he hits the road with Richard for a long sales trip in a last ditch effort to rescue his father's legacy. Tommy Boy was a major hit that turned Chris Farley into a screen star; sadly, died a little over 2 1/2 years later.	PG-13	Comedy|Special Interest	Peter Segal	Bonnie Turner	Mar 31, 1995	Nov 9, 1999			95 minutes	
607	Director and former stunt coordinator Chuck Bail takes the help for this fast-paced action thriller about a Harvard-graduate physicist whose efforts to create a safe source of energy are thwarted by nuclear waste-dumping baddies. David Lowell (Stephen Collins) has discovered the secret to clean energy, and he's ready to share his gift with the world. In just a few days, Hayley's Comet will pass over the Grand Canyon, and David will capture the energy from the high-frequency sound waves emitted from the enormous space rock. Unfortunately, there are those who would rather continue to profit from conventional forms of energy, and they're not afraid to use force to get their way.	PG	Drama|Mystery and Suspense|Science Fiction and Fantasy	Chuck Bail		Jul 1, 1986	Apr 15, 1987			95 minutes	
608	Some people have bad days. Henry Altmann (Williams) has one every day. Always unhappy and angry at the world including everyone in it, Henry sits impatiently at the doctor's office when he is finally seen by Dr. Sharon Gill (Kunis). Sharon, who is enduring her own bad day, reveals that Henry has a brain aneurysm. This news makes Henry even angrier, yelling at Sharon he demands to know how much time he has left. Faced with Henry's anger and insults, Sharon abruptly tells him he has only 90 minutes. Shocked and reeling by this news, Henry storms out of the office leaving Sharon stunned by what she has just done in a lapse of judgment. As Sharon goes on a city-wide search, Henry struggles with his diagnosis, determined to make amends with everyone he has hurt in his life. (c) Lionsgate	R	Comedy|Drama	Phil Alden Robinson	Daniel Taplitz	May 23, 2014	Jul 22, 2014			87 minutes	
609	In this brooding WW II-era mystery, a Nazi agent must prove that one of three high-ranking generals is guilty of killing a Polish prostitute. The tale is based on a novel by Hans-Helmut Kirst.	NR	Classics|Drama|Mystery and Suspense	Anatole Litvak	Paul Dehn|Joseph Kessel	Feb 2, 1967	May 1, 2007			144 minutes	
610	American tourist Frank (Johnny Depp) meets a mysterious beauty who drags him into a dangerous world of intrigue and espionage while traveling through Europe in director Florian Henckel von Donnersmarck's paranoid thriller. When Frank met Elise (Angelina Jolie) on the train, he thought it was a chance encounter. Little did Frank realize it was all part of a much bigger plan, one that would soon find him dodging bullets through both the historic streets of Paris and the winding canals of Venice. Now, the faster Frank and Elise run, the more intense their romance grows.	PG-13	Action and Adventure|Mystery and Suspense|Romance	Florian Henckel von Donnersmarck	Florian Henckel von Donnersmarck|Christopher McQuarrie|Julian Fellowes	Dec 10, 2010	Mar 22, 2011	$	67,631,157	103 minutes	Columbia Pictures
611	Directed by Clint Eastwood, the mysterious drama Mystic River is based on the novel by Dennis Lehane and adapted by screenwriter Brian Helgeland. Set in an Irish neighborhood in Boston, Jimmy, Sean, and Dave are three childhood friends who are reunited after a brutal murder takes place. Reformed convict Jimmy Markum (Sean Penn) and his devoted wife Annabeth (Laura Linney) find out that their teenage daughter Katie (Emmy Rossum) has been beaten and killed. Jimmy's old friend Sean Devine (Kevin Bacon) is the homicide detective assigned to the case, along with partner Whitey Powers (Laurence Fishburne). Jimmy also gets his relatives, the Savage brothers (Adam Nelson and Robert Wahlberg), to conduct an investigation of their own. Jimmy and Sean both start to suspect their old pal, Dave Boyle (Tim Robbins), who lives a quiet life with his wife Celeste (Marcia Gay Harden) but harbors some disturbing secrets. Clint Eastwood won a Golden Coach for Mystic River at the 2003 Cannes Film Festival.	R	Drama|Mystery and Suspense	Clint Eastwood	Brian Helgeland	Oct 8, 2003	Jun 8, 2004	$	88,800,000	137 minutes	WB
612	"Actors Woody Harrelson and Wesley Snipes team up for the third time in this actioner that has them playing brothers working as subway cops for New York City transit. Their job is to curtail subway crime. They are also in hot pursuit of an arsonist. The ""brothers,"" are dramatically different. John (Snipes) is black, hyper-responsible, and very protective of the lily white and free-spirited Charlie (Harrelson). Irresponsible Charlie has a larcenous streak and secretly fantasizes about robbing the money train, the subway assigned to collect all the money gathered each day at each station throughout the city. He would use the loot to pay off his considerable gambling debts. The natural tension between the disparate twosome increases with the addition of Grace, their new partner. Eventually they decide to give it a go and attempt to rob the money train."	R	Action and Adventure|Comedy|Drama|Mystery and Suspense	Joseph Ruben	David Loughery|Doug Richardson	Nov 22, 1995	May 22, 2001			110 minutes	
613	"Casbah is a musical remake of the 1938 film Algiers, which was itself a remake of the French film Pepe Le Moko. Tony Martin stars in the old Jean Gabin/Charles Boyer role as Pepe Le Moko, a master thief who lives in the Casbah section of Algiers. A French police inspector (Peter Lorre) would love to capture Pepe, but realizes that as long as the thief remains in the Casbah he is protected by his vast network of criminals. When Pepe falls in love with a beautiful tourist (Marta Toren), he schemes for the first time to leave his little ""empire"". Betrayed by a former lover (Yvonne De Carlo), Pepe is shot down by the police as he emerges from his sanctuary. Casbah lacks the atmosphere of the earlier non-musical versions of the story, but Tony Martin is reasonably convincing as Pepe Le Moko, even when bursting into song."	NR	Classics|Musical and Performing Arts	John Berry	Leslie Bush-Fekete					94 minutes	
614	"In one of John Wayne's more interesting late Westerns, ""The Duke"" plays Will Anderson, a crusty veteran cattleman preparing a 400-mile drive to get a herd of steers to market. Shortly before the trip is scheduled to begin, Will's crew quits when they get word of a nearby gold strike. With little time and few alternatives, Will recruits eleven boys, ages nine through 13, and teaches them the basics of herding cattle and riding the range. Bruce Dern plays a memorably foul villain and cattle rustler named Long Hair, while Roscoe Lee Browne portrays Jebediah, the cattle drive cook, and Colleen Dewhurst is Kate, a madam."	PG	Classics|Drama|Western	Mark Rydell		Jan 13, 1972	Oct 6, 1998			128 minutes	
615	"Master filmmaker Hou Hsiao Hsien directs this wistful story about lost love and lost innocence among Taiwan's working class. Wan (Wang Chien-wen) and Huen (Hsin Shu-feng) are high school sweethearts living in a down-and-out mining community of Jio-fen in Taiwan's backwaters. Too poor to continue their education, the two drop out of school and move to Taipei to find employment. When Wan's father learns of his son's decision, he simply says, ""When you are willing to make yourself an ox, there will always be someone with a plow."" Huen finds work as a seamstress. Wan becomes a printer's assistant and then a motorcycle delivery boy. The time passes as they work all day, pursue their studies at night school, and spend their scant free time drinking with their friends -- all working similarly menial jobs. One friend is beaten with an iron bar by his abusive boss; another has his finger chopped off in a machine. One by one, these friends are called up for their obligatory two years of military service. One day, while taking Huen shoe shopping, Wan has his bike stolen. Furious and out of a job, Wan wanders around the streets of Taipei until he contracts bronchitis. Huen lovingly nurses him back to health. Then he gets called up for military service."	PG	Art House and International|Drama	Hsiao-hsien Hou		Jan 1, 1986	Sep 11, 2001			109 minutes	
617	In this film, the title character, played by Gary Cooper, is a drifter who is accused of stealing a horse. He is brought before the redoubtable rapscallion Judge Roy Bean. Cooper saves himself from hanging by pretending that he's intimately acquainted with actress Lily Langtry, whom Bean worships from afar.	NR	Action and Adventure|Drama|Western	William Wyler	Jo Swerling|Niven Busch	Jan 1, 1940	Sep 29, 1998			100 minutes	
618	A would-be Nashville star finds himself in hot water during a stay in Georgia in this drama based (very loosely) on the hit song of the same title. Travis Child (Dennis Quaid) is a country singer looking for his big break, crisscrossing the country playing honky-tonks with his younger sister (and manager), Amanda (Kristy McNichol), in tow. Travis has a bad habit of drinking too much and putting the moves on the wrong women, leaving tough-as-nails Amanda to bail him out. One night Travis runs afoul of Seth Ames (Don Stroud), the sheriff of a small Georgia town who isn't against using his fists to teach lawbreakers a lesson; thanks to Ames, Travis ends up behind bars, but Amanda is able to persuade a sympathetic state trooper, Conrad (Mark Hamill), to help raise bail. In exchange, Travis has to work off his debt as a bartender at a local watering hole (where he hopes he might get to play a few tunes for the customers), and between drawing beers and pouring shots, he meets a beautiful local girl amed Melody (Sunny Johnson). However, as romance begins to bloom between them, Travis find himself in trouble again when he discovers Melody already has a boyfriend -- Seth Ames. Both Dennis Quaid and Kristy McNichol do their own singing in The Night the Lights Went Out in Georgia, with Quaid also writing several of his character's tunes.	PG	Drama		Bob Bonney					110 minutes	
619	"Convinced that a recently burned-down structure harbors ghosts, young Matthew Mackay and Siluck Saysanasy decide to investigate the ruins. In true ""urban legend"" fashion, what Mackay sees inside the structure causes him to go bald on the spot"	PG	Comedy|Kids and Family|Science Fiction and Fantasy	Michael Rubbo	Michael Rubbo					96 minutes	
620	Joey Travolta stars in this two-fisted action thriller directed by Raymond Martino.	R	Action and Adventure	Raymond Martino	Raymond Martino					94 minutes	
622	"Popularly viewed as one of the best American films ever made, the multi-generational crime saga The Godfather is a touchstone of cinema: one of the most widely imitated, quoted, and lampooned movies of all time. Marlon Brando and Al Pacino star as Vito Corleone and his youngest son, Michael, respectively. It is the late 1940s in New York and Corleone is, in the parlance of organized crime, a ""godfather"" or ""don,"" the head of a Mafia family. Michael, a free thinker who defied his father by enlisting in the Marines to fight in World War II, has returned a captain and a war hero. Having long ago rejected the family business, Michael shows up at the wedding of his sister, Connie (Talia Shire), with his non-Italian girlfriend, Kay (Diane Keaton), who learns for the first time about the family ""business."" A few months later at Christmas time, the don barely survives being shot by gunmen in the employ of a drug-trafficking rival whose request for aid from the Corleones' political connections was rejected. After saving his father from a second assassination attempt, Michael persuades his hotheaded eldest brother, Sonny (James Caan), and family advisors Tom Hagen (Robert Duvall) and Sal Tessio (Abe Vigoda) that he should be the one to exact revenge on the men responsible. After murdering a corrupt police captain and the drug trafficker, Michael hides out in Sicily while a gang war erupts at home. Falling in love with a local girl, Michael marries her, but she is later slain by Corleone enemies in an attempt on Michael's life. Sonny is also butchered, having been betrayed by Connie's husband. As Michael returns home and convinces Kay to marry him, his father recovers and makes peace with his rivals, realizing that another powerful don was pulling the strings behind the narcotics endeavor that began the gang warfare. Once Michael has been groomed as the new don, he leads the family to a new era of prosperity, then launches a campaign of murderous revenge against those who once tried to wipe out the Corleones, consolidating his family's power and completing his own moral downfall. Nominated for 11 Academy Awards and winning for Best Picture, Best Actor (Marlon Brando), and Best Adapted Screenplay, The Godfather was followed by a pair of sequels."	R	Drama	Francis Ford Coppola	Francis Ford Coppola|Mario Puzo	Mar 24, 1972	Oct 9, 2001			175 minutes	Paramount Pictures
623	After a long absence, gangster and father Ulysses Pick (Jason Patric) arrives home to a house haunted with memories, towing the body of a teenaged girl and a bound and gagged young man. His gang waits inside his house, having shot their way past police. There is friction in the ranks. Ulysses, however, is focused on one thing: journeying through the house, room by room, and reaching his wife Hyacinth (Isabella Rossellini) in her bedroom upstairs. The equilibrium of the house has been disturbed and his odyssey eventually becomes an emotional tour, as the ghostly nooks and crannies of the house reveal more about the mysterious Pick family. -- (C) Official Site	R	Art House and International|Drama|Mystery and Suspense	Guy Maddin	Guy Maddin|George Toles	Apr 6, 2012	Jun 18, 2012	$	22,099	93 minutes	Monterey Media
624	"An ex-husband and wife team star in a musical version of Shakespeare's ""Taming of the Shrew"", but off-stage the production is rife ex-lovers' quarrels and gangster lookinf for some money owed to them."	NR	Classics|Comedy|Musical and Performing Arts	George Sidney	Dorothy Kingsley|Bella Spewack|Sam Spewack	Nov 26, 1953	Apr 22, 2003			110 minutes	
626	"Popular bogeymen Jason Voorhees terrorizes a group of nubile astronauts five centuries into the future in this sci-fi update of the Friday the 13th franchise. Early in the 21st century, Jason (actor/stunt man Kane Hoddar, filling the role for a fourth time) is experimented upon by army technocrats who hope to turn his supernatural invulnerability into a military application. Most of them meet a swift and bloody end -- except Rowan (Lexa Doig), a beautiful functionary, who traps the killer in a cryogenic stasis chamber. Unfortunately, she takes a machete blow in the process, gets frozen herself, and wakes up on a spaceship in the year 2455. The earth has long since been rendered uninhabitable, but the survivors include a group of archaeological students headed by Professor Lowe (Jonathan Potts), who hopes to make a quick buck by selling the corpse of the historical serial killer. The kids re-animate Rowan with the help of nanotechnology. Little do they know that a mere thaw job is enough to resuscitate Jason and reawaken his bloodthirst. Soon, the comely students and their space-marine protectors are being dispatched one by one. Help arrives in the form of a holographic chamber and an android named Kay-Em 14 (Lisa Ryder). Soon, though, Jason himself gets an upgrade -- just as the spaceship is getting ready to self-destruct. The tenth installment in the long-running horror series, Jason X was the first new entry to appear in almost a decade. In fact, the previous film, 1993's Jason Goes to Hell: The Final Friday, was one of two installments whose titles erroneously contained the word ""final."""	R	Horror|Mystery and Suspense|Science Fiction and Fantasy	James Isaac	Todd Farmer	Apr 26, 2002	Jun 1, 2004	$	12,610,731	91 minutes	New Line Cinema
627	The Kid Stays in the Picture director Brett Morgen turns his unique eye toward the infamous 1968 Democratic National Convention in this 2006 documentary. Using a star-studded voice cast along with a blend of archival footage and animation, Morgen tells the story of the eight demonstrators who were arrested and tried for conspiracy in the wake of the violent anti-war protests. Featuring the voices of Nick Nolte and Mark Ruffalo among others, Chicago 10 premiered at the 2007 Sundance Film Festival.	R	Animation|Documentary|Drama	Brett Morgen	Brett Morgen	Feb 27, 2008	Aug 26, 2008			100 minutes	
628	"""Queen of Katwe"" is the colorful true story of a young girl selling corn on the streets of rural Uganda whose world rapidly changes when she is introduced to the game of chess, and, as a result of the support she receives from her family and community, is instilled with the confidence and determination she needs to pursue her dream of becoming an international chess champion. Directed by Mira Nair (""Monsoon Wedding"") from a screenplay by William Wheeler (""The Hoax"") based on the book by Tim Crothers, ""Queen of Katwe"" is produced by Lydia Dean Pilcher (""The Darjeeling Limited"") and John Carls (""Where the Wild Things Are"") with Will Weiske and Troy Buder serving as executive producers. The film stars Golden Globe (R) nominee David Oyelowo (""Selma""), Oscar (R) winner and Tony Award (R) nominee Lupita Nyong'o (""12 Years a Slave"") and newcomer Madina Nalwanga. For 10-year-old Phiona Mutesi (Nalwanga) and her family, life in the impoverished slum of Katwe in Kampala, Uganda, is a constant struggle. Her mother, Harriet (Nyong'o), is fiercely determined to take care of her family and works tirelessly selling vegetables in the market to make sure her children are fed and have a roof over their heads. When Phiona meets Robert Katende (Oyelowo), a soccer player turned missionary who teaches local children chess, she is captivated. Chess requires a good deal of concentration, strategic thinking and risk taking, all skills which are applicable in everyday life, and Katende hopes to empower youth with the game. Phiona is impressed by the intelligence and wit the game requires and immediately shows potential. Recognizing Phiona's natural aptitude for chess and the fighting spirit she's inherited from her mother, Katende begins to mentor her, but Harriet is reluctant to provide any encouragement, not wanting to see her daughter disappointed. As Phiona begins to succeed in local chess competitions, Katende teaches her to read and write in order to pursue schooling. She quickly advances through the ranks in tournaments, but breaks away from her family to focus on her own life. Her mother eventually realizes that Phiona has a chance to excel and teams up with Katende to help her fulfill her extraordinary potential, escape a life of poverty and save her family. Disney's ""Queen of Katwe"" will open in U.S. theaters on September 23, 2016."	PG	Drama|Kids and Family	Mira Nair	William Wheeler			$	8,874,389	124 minutes	
631	Craig Sheffer stars as Zane, a TV producer looking for romance.	R	Comedy|Romance	Roderick Taylor		Jun 1, 1990	Jan 1, 1991			94 minutes	
632	"Forced into prostitution against her will, a battered Anna (Monic Hendrickx) wanders the streets of a small town in Holland's northern Groningen area, falling before farmer Henk (Dutch theater actor Jaap Spijkers), who takes her in. Their relationship develops, but it is threatened by the imminent foreclosure on Henk's farm. Directed by Algerian-born Karim Traidia, a Dutch resident for the past 18 years, this film is one of the low-budget features in the end-of-the-millennium Dutch film series known as ""Route 2000,"" which also includes Paula van der Oest's Tate's Voyage, Mart Dominicus' Fl. 19,99, and Boris Pavel Conen's Temmink. World premiere at the 1998 Rotterdam Film Festival."	NR	Art House and International|Drama|Romance	Karim Traidia						86 minutes	
633	"One of Filmmaker Magazine's ""25 New Faces of Independent Film,"" writer-director Tze Chun makes his feature film debut with one of the most-awarded and best-reviewed films of the year. CHILDREN OF INVENTION is by turns humorous and heartbreaking, an ""edge-of-your-seat family drama"" (Spout) that's both ""powerfully moving and rigorously intelligent.""(Boston Phoenix).After being evicted, hardworking single mom Elaine Cheng (Cindy Cheung, Lady in the Water) tries to maintain a normal life for her children, Raymond and Tina. Elaine juggles a number of jobs, including working for a questionable pyramid scheme. When Elaine doesn't return home one night, nobody knows the kids are home alone, and they are left to fend for themselves. As the days pass, Raymond, a budding inventor, realizes he needs to come up with a plan to take care of his little sister.Referencing both the mortgage meltdown and suburban Ponzi schemes, ""the film finds delicate moments of beauty and grace as its child heroes are forced to make their way"" (Filmmaker Magazine). Featuring ""gifted child actors--off-the-charts cute, refreshingly free of Hollywood precociousness"" (LA Weekly), CHILDREN OF INVENTION is ""as close to cinematic purity as one is likely to see this year"" (Film Society of Lincoln Center), a timely drama about the influence of the adult world on children and resilience in hard times.CHILDREN OF INVENTION made its world premiere at the 2009 Sundance Film Festival and won Grand Jury Prizes for Best Narrative Feature at the 2009 Newport International Film Festival, Independent Film Festival Boston, and Los Angeles Asian Pacific Film Festival, and Special Jury Prizes at the 2009 Sarasota, Nashville, Los Angeles Asian Pacific, and San Francisco International Asian American Film Festivals. It was the Opening Night Film at five film festivals and the Closing Night Film at two film festivals in 2009. -- (C) Official Site"	NR	Drama	Tze Chun	Tze Chun	Mar 12, 2010	Aug 10, 2010			86 minutes	Independent Films
635	"Adrienne Barbeau stars in this campy horror flick about dead nuns and the undead. The film opens with the legendary massacre at the St. Francis Boarding School for Girls. One night in 1960, a disgruntled former student saunters into the school chapel and kills a bunch of nuns and a priest with a shotgun. The deranged student, young Christine (Oakley Stevenson), then douses the mother superior with gasoline and sets her on fire with the flick of a lit cigarette. Forty years later, the shuttered school is a popular haunt for drunken frat boys and pasty-faced goths. When the cops make their usual bust of trespassing revelers, black-bedecked Mo (Megahn Perry) sticks around, only to be kidnapped for a Satanic human sacrifice. The inept devil worshippers inadvertently call up a real live demon when they stab Mo. Most of the ersatz Satanists are either butchered or rendered evil ghouls. Fortunately, Clarissa (Joanna Canton), the obligatory ""nice-girl"" in the band, manages to flee the school and find refuge with Christine (Barbeau), who was recently released from a mental asylum. With some coaxing, Christine agrees to break out the armaments and fight against the demons. Rap star Coolio appears as a freaked-out cop in the film."	R	Horror	Mike Mendez		Jan 20, 2000	Dec 11, 2001			84 minutes	
636		NR	Special Interest	Andreas Morell							
638	A variety of crooks, losers, and working stiffs living in the shadow of Hollywood find their various personal crises overlapping in this intricately woven melodrama. Lee Woods (James Spader) is a cold-blooded hit man and Dosmo Pizzo (Danny Aiello) a soft-at-heart gangster; they've been sent to murder Roy Foxx (Peter Horton), the former husband of also-ran Olympic skier Becky Foxx (Teri Hatcher). Lee's girlfriend Helga (Charlize Theron) is unhappy about his habit of killing people, and she attracts the attention of Alvin (Jeff Daniels) and Wes (Eric Stoltz), two cops who've been put on vice detail but don't have the heart to bust the prostitute they've been trailing. Alvin dreams of becoming a homicide detective, so when he discovers that he might be on the trail of a murder, it's like Santa Claus showed up in mid-July to hand him a present. Dosmo manages to escape the crime scene, only to foil a murder attempt by Lee, forcing him to hide out in the home of Hopper, a pretentious English art dealer (Greg Cruttwell), whom Dosmo holds hostage along with Hopper's long-suffering assistant, Susan (Glenne Headly). In the midst of all this, a down-on-his-luck television director (Paul Mazursky) contemplates suicide (the main stumbling block is finding someone to take care of his dog) while also being pestered by an actor with equally bad luck (Austin Pendleton) and meeting a compassionate nurse (Marsha Mason) on a visit to a cemetery.	R	Comedy|Drama|Mystery and Suspense	John Herzfeld	John Herzfeld	Sep 27, 1996	Aug 7, 2001			107 minutes	
639	Abel Ferrara directed this erotic thriller adapted by Ferrara and Christ Zois from a short story by science fiction author William Gibson (in his Burning Chrome collection). Global corporations rule the world, and corporate raider Fox (Christopher Walken) and his deputy X (Willem Dafoe) could pocket	R	Drama|Mystery and Suspense|Science Fiction and Fantasy	Abel Ferrara	Abel Ferrara|Christ Zois	Oct 1, 1999	Dec 7, 1999			93 minutes	
640	Parole officer Griff Marat (Cornel Wilde) is lured into a love affair with murderess-on-parole Jenny Wright (Patricia Knight). Her lover, and the man who had originally y convinced her to commit the murder, gambler Harry Wesson (John Baragrey), offers to take Jenny back to her plush life. The conflict which ensues as Marat tries to save Jenny almost destroys his life. Shockproof directed by Douglas Sirk, though one of his early efforts, shows hints of the distinctive style he would later employ with great success in his later career. The screenplay was written by famed director Samuel Fuller known for his gritty realism and hard-boiled style.	NR	Classics|Drama|Mystery and Suspense	Douglas Sirk	Helen Deutsch|Samuel Fuller	Jan 1, 1949	Oct 27, 2009			79 minutes	
641	A woman who had been suffering from amnesia suddenly gets her memory back. However, she finds that she's now married to a man who she doesn't think she really loves, and she keeps having visions of a young woman who she believes is out to kill her--but she can't get anyone to listen.	NR	Drama							104 minutes	
642	Cary Grant stars as Alec Walker, a man whose wife Maida (Kay Francis) married him only for his wealth. He falls in love with another woman, played by Carole Lombard, only to find that his spiteful wife refuses to grant him a divorce.	NR	Classics|Drama|Romance	John Cromwell	Richard Sherman					102 minutes	
643	Brigsby Bear Adventures is a children's TV show produced for an audience of one: James (Kyle Mooney). When the show abruptly ends, James' life changes forever, he sets out to finish the story himself and must learn to cope with the realities of a new world that he knows nothing about.	PG-13	Comedy	Dave McCary	Kevin Costello	Jul 28, 2017	Nov 14, 2017	$	529,426	97 minutes	Sony Pictures Classics
644	A woman seeking to revive the spark in her marriage inadvertently attracts the attentions of a stranger with a twisted concept of romance. Claire Dennison (Willa Ford) is a passionate beauty who has grown increasingly distant from her once-loving husband. But Claire is intent on arousing her husband's dormant desires, and plans an elaborate role-playing game in order to make that happen. At first it appears as if her husband is playing along as planned, but it doesn't take long for Claire to discover that she's playing with fire. The man she has attracted is in fact a total stranger, and by the time she tries to break things off it may already be too late.	R	Drama|Mystery and Suspense							101 minutes	
645		NR	Documentary|Musical and Performing Arts							152 minutes	
646	On the eve of graduating law school, Veronica Mars has put Neptune and her amateur sleuthing days behind her. While interviewing at high-end New York law firms, Veronica Mars gets a call from her ex-boyfriend Logan who has been accused of murder. Veronica heads back to Neptune just to help Logan find an attorney, but when things don't seem right with how Logan's case is perceived and handled, Veronica finds herself being pulled back into a life she thought she had left behind. (c) Official Site	PG-13	Comedy|Drama|Mystery and Suspense			Mar 14, 2014	May 6, 2014	$	2,664,765	108 minutes	Warner Bros.
647	A singer (Frank Sinatra) and his pianist (Alex Nicol) are unsuccessful until a female lounge singer (Shelley Winters) introduces them to a mobster (Raymond Burr). The duo become very popular after signing a contract with the mobster, but they gradually realize there are numerous disadvantages that they hadn't considered.	NR	Drama|Musical and Performing Arts	Joseph Pevney	Don McGuire	Apr 1, 1952	Aug 3, 1994			86 minutes	
648	Set in Texas during the late 1860s, Rio Bravo is a story of men (and women) and a town under siege. Presidio County Sheriff John T. Chance (John Wayne) is holding Joe Burdette (Claude Akins), a worthless, drunken thug, for the murder of an unarmed man in a fight in a saloon -- the problem is that Joe is the brother of wealthy land baron Nathan Burdette (John Russell), who owns a big chunk of the county and can buy all the hired guns he doesn't already have working for him. Burdette's men cut the town off to prevent Chance from getting Joe into more secure surroundings, and then the hired guns come in, waiting around for their chance to break him out of jail. Chance has to wait for the United States marshal to show up, in six days, his only help from Stumpy (Walter Brennan), a toothless, cantankerous old deputy with a bad leg who guards the jail, and Dude (Dean Martin), his former deputy, who's spent the last two years stumbling around in a drunken stupor over a woman that left him. Chance's friend, trail boss Pat Wheeler (Ward Bond), arrives at the outset of the siege and tries to help, offering the services of himself and his drovers as deputies, which Chance turns down, saying they're not professionals and would be too worried about their families to be good at anything except being targets for Burdette's men; but Chance does try to enlist the services of Wheeler's newest employee, a callow-looking young gunman named Colorado Ryan (Ricky Nelson), who politely turns him down, saying he prefers to mind his own business. In the midst of all of this tension, Feathers (Angie Dickinson), a dance hall entertainer, arrives in town and nearly gets locked up by Chance for cheating at cards, until he finds out that he was wrong and that she's not guilty -- this starts a verbal duel between the two of them that grows more sexually intense as the movie progresses and she finds herself in the middle of Chance's fight. Wheeler is murdered by one of Burgette's hired guns who is, in turn, killed by Dude in an intense confrontation in a saloon. Colorado throws in with Chance after his boss is killed and picks up some of the slack left by Dude, who isn't quite over his need for a drink or the shakes that come with trying to stop. Chance and Burdette keep raising the ante on each other, Chance, Dude, and Colorado killing enough of the rancher's men that he's got to double what he's paying to make it worth the risk, and the undertaker (Joseph Shimada) gets plenty of business from Burdette before the two sides arrive at a stalemate -- Burdette is holding Dude and will release him in exchange for Joe. This leads to the final, bloody confrontation between Chance and Burdette, where the wagons brought to town by the murdered Wheeler play an unexpected and essential role in tipping the balance.	R	Action and Adventure|Classics|Western	Howard Hawks	Jules Furthman|Leigh Brackett	Apr 4, 1959	May 8, 2001			142 minutes	
651	Sam Peckinpah examines the instinctual capacity for violence in his controversial 1971 film, loosely based on the novel The Siege of Trencher's Farm. To avoid the Vietnam-era social chaos in the U.S., American mathematician David Sumner (Dustin Hoffman) moves with his British wife, Amy (Susan George), to the isolated Cornish town where she grew up, but their presence provokes antagonism among the village's men. As the hostilities escalate from routine bullying to the gang rape of his wife, David finds his pacifistic self backed into a corner. When the hooligans attack his house, David finally resorts to the gruesome violence that he abhors.	R	Drama|Mystery and Suspense	Sam Peckinpah	Rod Lurie|Sam Peckinpah|David Zelag Goodman|David Z Goodman	Dec 29, 1971	Mar 13, 2001			118 minutes	
