"location","variable","Unit","Date","Value"
"Morogoro","Mean Maximum Temperature (°C)","°C","2010M7","28.6"
"Morogoro","Mean Maximum Temperature (°C)","°C","2010M8","29"
"Morogoro","Mean Maximum Temperature (°C)","°C","2010M9","30.5"
"Morogoro","Mean Maximum Temperature (°C)","°C","2010M10","33.3"
"Morogoro","Mean Maximum Temperature (°C)","°C","2010M11","33.8"
"Morogoro","Mean Maximum Temperature (°C)","°C","2010M12","32.4"
"Morogoro","Mean Maximum Temperature (°C)","°C","2012M1","31.3"
"Morogoro","Mean Maximum Temperature (°C)","°C","2012M2","33.1"
"Morogoro","Mean Maximum Temperature (°C)","°C","2012M3","31.6"
"Morogoro","Mean Maximum Temperature (°C)","°C","2012M4","29.9"
"Morogoro","Mean Maximum Temperature (°C)","°C","2012M5","28.8"
"Morogoro","Mean Maximum Temperature (°C)","°C","2012M6","28"
"Morogoro","Mean Maximum Temperature (°C)","°C","2012M7","27.4"
"Morogoro","Mean Maximum Temperature (°C)","°C","2012M8","29.3"
"Morogoro","Mean Maximum Temperature (°C)","°C","2012M9","31.2"
"Morogoro","Mean Maximum Temperature (°C)","°C","2012M10","32.7"
"Morogoro","Mean Maximum Temperature (°C)","°C","2012M11","33.3"
"Morogoro","Mean Maximum Temperature (°C)","°C","2012M12","33.1"
"Morogoro","Mean Minimum Temperature (°C )","°C","2010M1","22.4"
"Morogoro","Mean Minimum Temperature (°C )","°C","2010M2","22.4"
"Morogoro","Mean Minimum Temperature (°C )","°C","2010M3","23"
"Morogoro","Mean Minimum Temperature (°C )","°C","2010M4","21.5"
"Morogoro","Mean Minimum Temperature (°C )","°C","2010M5","20.3"
"Morogoro","Mean Minimum Temperature (°C )","°C","2010M6","17.9"
"Morogoro","Mean Minimum Temperature (°C )","°C","2010M7","16.3"
"Morogoro","Mean Minimum Temperature (°C )","°C","2010M8","16.9"
"Morogoro","Mean Minimum Temperature (°C )","°C","2010M9","17.6"
"Morogoro","Mean Minimum Temperature (°C )","°C","2010M10","19"
"Morogoro","Mean Minimum Temperature (°C )","°C","2010M11","20.6"
"Morogoro","Mean Minimum Temperature (°C )","°C","2010M12","21.7"
"Morogoro","Mean Minimum Temperature (°C )","°C","2012M1","21.5"
"Morogoro","Mean Minimum Temperature (°C )","°C","2012M2","21.5"
"Morogoro","Mean Minimum Temperature (°C )","°C","2012M3","21.3"
"Morogoro","Mean Minimum Temperature (°C )","°C","2012M4","17.4"
"Morogoro","Mean Minimum Temperature (°C )","°C","2012M5","19.3"
"Morogoro","Mean Minimum Temperature (°C )","°C","2012M6","17"
"Morogoro","Mean Minimum Temperature (°C )","°C","2012M7","15.8"
"Morogoro","Mean Minimum Temperature (°C )","°C","2012M8","19.9"
"Morogoro","Mean Minimum Temperature (°C )","°C","2012M9","17.6"
"Morogoro","Mean Minimum Temperature (°C )","°C","2012M10","19.1"
"Morogoro","Mean Minimum Temperature (°C )","°C","2012M11","20.6"
"Morogoro","Mean Minimum Temperature (°C )","°C","2012M12","21.5"
"Morogoro","Population in ""000""","thousands","2002","1753"
"Morogoro","Population in ""000""","thousands","2010","2115"
"Morogoro","Population in ""000""","thousands","2012","2218.492"
"Morogoro","Density/km2","persons per sq. km","2010","30"
"Morogoro","Density/km2","persons per sq. km","2012","31"
"Morogoro","Total, % HIV Positive","%","2008","4.2"
"Morogoro","Total, % HIV Positive","%","2012","3.8"
"Morogoro","Number of Household, Short Rainy Season","","2008","182663"
"Morogoro","Planted Area (ha), Short Rainy Season","Hectares","2008","236848"
"Morogoro","Number of Household, Long Rainy Season","","2008","193658"
"Morogoro","Planted Area (ha), Long Rainy Season","Hectares","2008","238487"
"Morogoro","Total area Planted (ha)","Hectares","2008","475335"
"Morogoro","% Area Planted in Short Rainy Season","%","2008","49.8"
"Morogoro","Maize, Quantity Harvested (tons/ha)","","2003","115570"
"Morogoro","Maize, Quantity Harvested (tons/ha)","","2008","238435"
"Morogoro","Paddy, Quantity Harvested (tons/ha)","","2003","113003"
"Morogoro","Paddy, Quantity Harvested (tons/ha)","","2008","294715"
"Pwani","Climatic Condition","mm","2012M1","7.5"
"Pwani","Climatic Condition","mm","2012M2","30.7"
"Pwani","Climatic Condition","mm","2012M3","121.7"
"Pwani","Climatic Condition","mm","2012M4","210.1"
"Pwani","Climatic Condition","mm","2012M5","103.3"
"Pwani","Climatic Condition","mm","2012M6","7.4"
"Pwani","Climatic Condition","mm","2012M7","1.1"
"Pwani","Climatic Condition","mm","2012M8","11.1"
"Pwani","Climatic Condition","mm","2012M9","5.3"
"Pwani","Climatic Condition","mm","2012M10","3.9"
"Pwani","Climatic Condition","mm","2012M11","37.1"
"Pwani","Climatic Condition","mm","2012M12","98.7"
"Pwani","Mean Maximum Temperature (°C)","°C","2012M1","31"
"Pwani","Mean Maximum Temperature (°C)","°C","2012M2","33.4"
"Pwani","Mean Maximum Temperature (°C)","°C","2012M3","32.3"
"Pwani","Mean Maximum Temperature (°C)","°C","2012M4","31.2"
"Pwani","Mean Maximum Temperature (°C)","°C","2012M5","29.9"
"Pwani","Mean Maximum Temperature (°C)","°C","2012M6","30.1"
"Pwani","Mean Maximum Temperature (°C)","°C","2012M7","30.1"
"Pwani","Mean Maximum Temperature (°C)","°C","2012M8","30.7"
"Pwani","Mean Maximum Temperature (°C)","°C","2012M9","31.4"
"Pwani","Mean Maximum Temperature (°C)","°C","2012M10","32.5"
"Pwani","Mean Maximum Temperature (°C)","°C","2012M11","32.3"
"Pwani","Mean Maximum Temperature (°C)","°C","2012M12","33.2"
"Pwani","Mean Minimum Temperature (°C )","°C","2012M1","22.9"
"Pwani","Mean Minimum Temperature (°C )","°C","2012M2","22.7"
"Pwani","Mean Minimum Temperature (°C )","°C","2012M3","22.5"
"Pwani","Mean Minimum Temperature (°C )","°C","2012M4","22.2"
"Pwani","Mean Minimum Temperature (°C )","°C","2012M5","21.9"
"Pwani","Mean Minimum Temperature (°C )","°C","2012M6","20.3"
"Pwani","Mean Minimum Temperature (°C )","°C","2012M7","18.5"
"Pwani","Mean Minimum Temperature (°C )","°C","2012M8","18.6"
"Pwani","Mean Minimum Temperature (°C )","°C","2012M9","19.3"
"Pwani","Mean Minimum Temperature (°C )","°C","2012M10","20.4"
"Pwani","Mean Minimum Temperature (°C )","°C","2012M11","21.9"
"Pwani","Mean Minimum Temperature (°C )","°C","2012M12","22.7"
"Pwani","Population in ""000""","thousands","2002","885"
"Pwani","Population in ""000""","thousands","2010","1063"
"Pwani","Population in ""000""","thousands","2012","1098.668"
"Pwani","Density/km2","persons per sq. km","2010","32"
"Pwani","Density/km2","persons per sq. km","2012","34"
"Pwani","Total, % HIV Positive","%","2008","5.3"
"Pwani","Total, % HIV Positive","%","2012","5.9"
"Pwani","Number of Household, Short Rainy Season","","2008","84527"
"Pwani","Planted Area (ha), Short Rainy Season","Hectares","2008","59671"
"Pwani","Number of Household, Long Rainy Season","","2008","89906"
"Pwani","Planted Area (ha), Long Rainy Season","Hectares","2008","82908"
"Pwani","Total area Planted (ha)","Hectares","2008","142579"
"Pwani","% Area Planted in Short Rainy Season","%","2008","41.9"
"Pwani","Maize, Quantity Harvested (tons/ha)","","2003","22991"
"Pwani","Maize, Quantity Harvested (tons/ha)","","2008","70265"
"Pwani","Paddy, Quantity Harvested (tons/ha)","","2003","7062"
"Pwani","Paddy, Quantity Harvested (tons/ha)","","2008","33207"
"Dar es Salaam","Climatic Condition","mm","2010M1","14"
"Dar es Salaam","Climatic Condition","mm","2010M2","83.2"
"Dar es Salaam","Climatic Condition","mm","2010M3","167.7"
"Dar es Salaam","Climatic Condition","mm","2010M4","362.2"
"Dar es Salaam","Climatic Condition","mm","2010M5","119"
"Dar es Salaam","Climatic Condition","mm","2010M6","14.6"
"Dar es Salaam","Climatic Condition","mm","2010M7","7.1"
"Dar es Salaam","Climatic Condition","mm","2010M8","15.8"
"Dar es Salaam","Climatic Condition","mm","2010M9","46.2"
"Dar es Salaam","Climatic Condition","mm","2010M10","0.4"
"Dar es Salaam","Climatic Condition","mm","2010M11","48.7"
"Dar es Salaam","Climatic Condition","mm","2010M12","85.3"
"Dar es Salaam","Climatic Condition","mm","2012M1","3.2"
"Dar es Salaam","Climatic Condition","mm","2012M2","36.4"
"Dar es Salaam","Climatic Condition","mm","2012M3","49.9"
"Dar es Salaam","Climatic Condition","mm","2012M4","263.5"
"Dar es Salaam","Climatic Condition","mm","2012M5","109.6"
"Dar es Salaam","Climatic Condition","mm","2012M6","9.7"
"Dar es Salaam","Climatic Condition","mm","2012M7","3.7"
"Dar es Salaam","Climatic Condition","mm","2012M8","19.2"
"Dar es Salaam","Climatic Condition","mm","2012M9","15.8"
"Dar es Salaam","Climatic Condition","mm","2012M10","0.8"
"Dar es Salaam","Climatic Condition","mm","2012M11","124"
"Dar es Salaam","Climatic Condition","mm","2012M12","66.8"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2010M1","32.6"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2010M2","33.7"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2010M3","32.6"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2010M4","31.4"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2010M5","31"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2010M6","30.4"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2010M7","30.2"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2010M8","30.5"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2010M9","30.7"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2010M10","32.5"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2010M11","32.5"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2010M12","32.7"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2012M1","32.4"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2012M2","33.3"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2012M3","33.3"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2012M4","32.2"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2012M5","31.3"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2012M6","31.2"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2012M7","31"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2012M8","31.4"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2012M9","31.5"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2012M10","32.6"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2012M11","32.4"
"Dar es Salaam","Mean Maximum Temperature (°C)","°C","2012M12","33.4"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2010M1","25.6"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2010M2","25.4"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2010M3","25"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2010M5","22.5"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2010M6","20.9"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2010M8","19.4"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2010M9","19.9"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2010M10","21.2"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2010M11","23.3"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2010M12","24.5"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2012M1","25.4"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2012M2","24.7"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2012M3","27"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2012M4","22.8"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2012M5","21.2"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2012M6","19.1"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2012M7","18"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2012M8","18.1"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2012M9","18.5"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2012M10","21.4"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2012M11","23.1"
"Dar es Salaam","Mean Minimum Temperature (°C )","°C","2012M12","22.9"
"Dar es Salaam","Population in ""000""","thousands","2002","2487"
"Dar es Salaam","Population in ""000""","thousands","2010","3118"
"Dar es Salaam","Population in ""000""","thousands","2012","4364.541"
"Dar es Salaam","Density/km2","persons per sq. km","2010","3118"
"Dar es Salaam","Density/km2","persons per sq. km","2012","3133"
"Dar es Salaam","Total, % HIV Positive","%","2008","8.9"
"Dar es Salaam","Total, % HIV Positive","%","2012","6.9"
"Dar es Salaam","Number of Household, Short Rainy Season","","2008","13469"
"Dar es Salaam","Planted Area (ha), Short Rainy Season","Hectares","2008","6292"
"Dar es Salaam","Number of Household, Long Rainy Season","","2008","22139"
"Dar es Salaam","Planted Area (ha), Long Rainy Season","Hectares","2008","13282"
"Dar es Salaam","Total area Planted (ha)","Hectares","2008","19574"
"Dar es Salaam","% Area Planted in Short Rainy Season","%","2008","32.1"
"Dar es Salaam","Maize, Quantity Harvested (tons/ha)","","2003","959"
"Dar es Salaam","Maize, Quantity Harvested (tons/ha)","","2008","4051"
"Dar es Salaam","Paddy, Quantity Harvested (tons/ha)","","2003","1900"
"Dar es Salaam","Paddy, Quantity Harvested (tons/ha)","","2008","3328"
"Lindi","Population in ""000""","thousands","2002","787"
"Lindi","Population in ""000""","thousands","2010","924"
"Lindi","Population in ""000""","thousands","2012","864.652"
"Lindi","Density/km2","persons per sq. km","2010","14"
"Lindi","Density/km2","persons per sq. km","2012","13"
"Lindi","Total, % HIV Positive","%","2008","3.9"
"Lindi","Total, % HIV Positive","%","2012","2.9"
"Lindi","Number of Household, Short Rainy Season","","2008","2366"
"Lindi","Planted Area (ha), Short Rainy Season","Hectares","2008","1294"
"Lindi","Number of Household, Long Rainy Season","","2008","159430"
"Lindi","Planted Area (ha), Long Rainy Season","Hectares","2008","166663"
"Lindi","Total area Planted (ha)","Hectares","2008","167957"
"Lindi","% Area Planted in Short Rainy Season","%","2008","0.8"
"Lindi","Maize, Quantity Harvested (tons/ha)","","2003","24854"
"Lindi","Maize, Quantity Harvested (tons/ha)","","2008","62571"
"Lindi","Paddy, Quantity Harvested (tons/ha)","","2003","5180"
"Lindi","Paddy, Quantity Harvested (tons/ha)","","2008","16814"
"Mtwara","Climatic Condition","mm","2010M1","168.2"
"Mtwara","Climatic Condition","mm","2010M2","310.1"
"Mtwara","Climatic Condition","mm","2010M3","203.3"
"Mtwara","Climatic Condition","mm","2010M4","339"
"Mtwara","Climatic Condition","mm","2010M5","95.6"
"Mtwara","Climatic Condition","mm","2010M6","12.3"
"Mtwara","Climatic Condition","mm","2010M7","1.8"
"Mtwara","Climatic Condition","mm","2010M8","2"
"Mtwara","Climatic Condition","mm","2010M9","0.9"
"Mtwara","Climatic Condition","mm","2010M10","4.5"
"Mtwara","Climatic Condition","mm","2010M11","6.9"
"Mtwara","Climatic Condition","mm","2010M12","86.2"
"Mtwara","Climatic Condition","mm","2012M1","179.5"
"Mtwara","Climatic Condition","mm","2012M2","103.9"
"Mtwara","Climatic Condition","mm","2012M3","165.8"
"Mtwara","Climatic Condition","mm","2012M4","105.1"
"Mtwara","Climatic Condition","mm","2012M5","54.9"
"Mtwara","Climatic Condition","mm","2012M6","6.3"
"Mtwara","Climatic Condition","mm","2012M7","15.4"
"Mtwara","Climatic Condition","mm","2012M8","6.6"
"Mtwara","Climatic Condition","mm","2012M9","1.2"
"Mtwara","Climatic Condition","mm","2012M10","15.1"
"Mtwara","Climatic Condition","mm","2012M11","10"
"Mtwara","Climatic Condition","mm","2012M12","44.1"
"Mtwara","Mean Maximum Temperature (°C)","°C","2010M1","30.7"
"Mtwara","Mean Maximum Temperature (°C)","°C","2010M2","31.3"
"Mtwara","Mean Maximum Temperature (°C)","°C","2010M3","31.7"
"Mtwara","Mean Maximum Temperature (°C)","°C","2010M4","30.8"
"Mtwara","Mean Maximum Temperature (°C)","°C","2010M5","30.9"
"Mtwara","Mean Maximum Temperature (°C)","°C","2010M6","29.4"
"Mtwara","Mean Maximum Temperature (°C)","°C","2010M7","29.3"
"Mtwara","Mean Maximum Temperature (°C)","°C","2010M8","30.4"
"Mtwara","Mean Maximum Temperature (°C)","°C","2010M9","25.1"
"Mtwara","Mean Maximum Temperature (°C)","°C","2010M10","31.5"
"Mtwara","Mean Maximum Temperature (°C)","°C","2010M11","31.9"
"Mtwara","Mean Maximum Temperature (°C)","°C","2010M12","31.7"
"Mtwara","Mean Maximum Temperature (°C)","°C","2012M1","30.3"
"Mtwara","Mean Maximum Temperature (°C)","°C","2012M2","30.4"
"Mtwara","Mean Maximum Temperature (°C)","°C","2012M3","30.8"
"Mtwara","Mean Maximum Temperature (°C)","°C","2012M4","30.5"
"Mtwara","Mean Maximum Temperature (°C)","°C","2012M5","29.9"
"Mtwara","Mean Maximum Temperature (°C)","°C","2012M6","29.2"
"Mtwara","Mean Maximum Temperature (°C)","°C","2012M7","29"
"Mtwara","Mean Maximum Temperature (°C)","°C","2012M8","29.5"
"Mtwara","Mean Maximum Temperature (°C)","°C","2012M9","30.5"
"Mtwara","Mean Maximum Temperature (°C)","°C","2012M10","30.7"
"Mtwara","Mean Maximum Temperature (°C)","°C","2012M11","32.2"
"Mtwara","Mean Maximum Temperature (°C)","°C","2012M12","32.2"
"Mtwara","Mean Minimum Temperature (°C )","°C","2010M4","23.1"
"Mtwara","Mean Minimum Temperature (°C )","°C","2010M5","22.5"
"Mtwara","Mean Minimum Temperature (°C )","°C","2010M6","20.6"
"Mtwara","Mean Minimum Temperature (°C )","°C","2010M7","19.7"
"Mtwara","Mean Minimum Temperature (°C )","°C","2010M8","18.9"
"Mtwara","Mean Minimum Temperature (°C )","°C","2010M9","18.8"
"Mtwara","Mean Minimum Temperature (°C )","°C","2010M10","20.5"
"Mtwara","Mean Minimum Temperature (°C )","°C","2010M11","22.3"
"Mtwara","Mean Minimum Temperature (°C )","°C","2010M12","23.8"
"Mtwara","Mean Minimum Temperature (°C )","°C","2012M1","23.2"
"Mtwara","Mean Minimum Temperature (°C )","°C","2012M2","23.1"
"Mtwara","Mean Minimum Temperature (°C )","°C","2012M3","23.7"
"Mtwara","Mean Minimum Temperature (°C )","°C","2012M4","22.3"
"Mtwara","Mean Minimum Temperature (°C )","°C","2012M5","20.8"
"Mtwara","Mean Minimum Temperature (°C )","°C","2012M6","19.1"
"Mtwara","Mean Minimum Temperature (°C )","°C","2012M7","18.5"
"Mtwara","Mean Minimum Temperature (°C )","°C","2012M8","18.3"
"Mtwara","Mean Minimum Temperature (°C )","°C","2012M9","18.5"
"Mtwara","Mean Minimum Temperature (°C )","°C","2012M10","19.4"
"Mtwara","Mean Minimum Temperature (°C )","°C","2012M11","22.2"
"Mtwara","Mean Minimum Temperature (°C )","°C","2012M12","22.8"
"Mtwara","Population in ""000""","thousands","2002","1124"
"Mtwara","Population in ""000""","thousands","2010","1324"
"Mtwara","Population in ""000""","thousands","2012","1270.854"
"Mtwara","Density/km2","persons per sq. km","2010","78"
"Mtwara","Density/km2","persons per sq. km","2012","76"
"Mtwara","Total, % HIV Positive","%","2008","3"
"Mtwara","Total, % HIV Positive","%","2012","4.1"
"Mtwara","Number of Household, Short Rainy Season","","2008","735"
"Mtwara","Planted Area (ha), Short Rainy Season","Hectares","2008","666"
"Mtwara","Number of Household, Long Rainy Season","","2008","216131"
"Mtwara","Planted Area (ha), Long Rainy Season","Hectares","2008","184795"
"Mtwara","Total area Planted (ha)","Hectares","2008","185461"
"Mtwara","% Area Planted in Short Rainy Season","%","2008","0.4"
"Mtwara","Maize, Quantity Harvested (tons/ha)","","2003","29807"
"Mtwara","Maize, Quantity Harvested (tons/ha)","","2008","63470"
"Mtwara","Paddy, Quantity Harvested (tons/ha)","","2003","4932"
"Mtwara","Paddy, Quantity Harvested (tons/ha)","","2008","22420"
"Ruvuma","Climatic Condition","mm","2012M1","286.7"
"Ruvuma","Climatic Condition","mm","2012M2","111.4"
"Ruvuma","Climatic Condition","mm","2012M3","172.2"
"Ruvuma","Climatic Condition","mm","2012M4","58.6"
"Ruvuma","Climatic Condition","mm","2012M5","12.3"
"Ruvuma","Climatic Condition","mm","2012M6","0"
"Ruvuma","Climatic Condition","mm","2012M7","0"
"Ruvuma","Climatic Condition","mm","2012M8","0"
"Ruvuma","Climatic Condition","mm","2012M9","0"
"Ruvuma","Climatic Condition","mm","2012M10","0"
"Ruvuma","Climatic Condition","mm","2012M11","82.7"
"Ruvuma","Climatic Condition","mm","2012M12","171.9"
"Ruvuma","Mean Maximum Temperature (°C)","°C","2012M1","27.9"
"Ruvuma","Mean Maximum Temperature (°C)","°C","2012M2","27.6"
"Ruvuma","Mean Maximum Temperature (°C)","°C","2012M3","27.7"
"Ruvuma","Mean Maximum Temperature (°C)","°C","2012M4","26.4"
"Ruvuma","Mean Maximum Temperature (°C)","°C","2012M5","25.8"
"Ruvuma","Mean Maximum Temperature (°C)","°C","2012M6","25.2"
"Ruvuma","Mean Maximum Temperature (°C)","°C","2012M7","23.3"
"Ruvuma","Mean Maximum Temperature (°C)","°C","2012M8","26.6"
"Ruvuma","Mean Maximum Temperature (°C)","°C","2012M9","28.9"
"Ruvuma","Mean Maximum Temperature (°C)","°C","2012M10","30.4"
"Ruvuma","Mean Maximum Temperature (°C)","°C","2012M11","29.4"
"Ruvuma","Mean Maximum Temperature (°C)","°C","2012M12","28.3"
"Ruvuma","Mean Minimum Temperature (°C )","°C","2012M1","18.4"
"Ruvuma","Mean Minimum Temperature (°C )","°C","2012M2","18.3"
"Ruvuma","Mean Minimum Temperature (°C )","°C","2012M3","17.5"
"Ruvuma","Mean Minimum Temperature (°C )","°C","2012M4","15.4"
"Ruvuma","Mean Minimum Temperature (°C )","°C","2012M5","13.3"
"Ruvuma","Mean Minimum Temperature (°C )","°C","2012M6","18.2"
"Ruvuma","Mean Minimum Temperature (°C )","°C","2012M7","11.1"
"Ruvuma","Mean Minimum Temperature (°C )","°C","2012M8","12.4"
"Ruvuma","Mean Minimum Temperature (°C )","°C","2012M9","14.6"
"Ruvuma","Mean Minimum Temperature (°C )","°C","2012M10","16.3"
"Ruvuma","Mean Minimum Temperature (°C )","°C","2012M11","18.2"
"Ruvuma","Mean Minimum Temperature (°C )","°C","2012M12","17.5"
"Ruvuma","Population in ""000""","thousands","2002","1114"
"Ruvuma","Population in ""000""","thousands","2010","1375"
"Ruvuma","Population in ""000""","thousands","2012","1376.891"
"Ruvuma","Density/km2","persons per sq. km","2010","21"
"Ruvuma","Density/km2","persons per sq. km","2012","22"
"Ruvuma","Total, % HIV Positive","%","2008","5.4"
"Ruvuma","Total, % HIV Positive","%","2012","7"
"Ruvuma","Number of Household, Short Rainy Season","","2008","432"
"Ruvuma","Planted Area (ha), Short Rainy Season","Hectares","2008","501"
"Ruvuma","Number of Household, Long Rainy Season","","2008","201568"
"Ruvuma","Planted Area (ha), Long Rainy Season","Hectares","2008","300972"
"Ruvuma","Total area Planted (ha)","Hectares","2008","301472"
"Ruvuma","% Area Planted in Short Rainy Season","%","2008","0.2"
"Ruvuma","Maize, Quantity Harvested (tons/ha)","","2003","179312"
"Ruvuma","Maize, Quantity Harvested (tons/ha)","","2008","236602"
"Ruvuma","Paddy, Quantity Harvested (tons/ha)","","2003","39514"
"Ruvuma","Paddy, Quantity Harvested (tons/ha)","","2008","55675"
"Iringa","Climatic Condition","mm","2010M1","108.5"
"Iringa","Climatic Condition","mm","2010M2","114.4"
"Iringa","Climatic Condition","mm","2010M3","64.9"
"Iringa","Climatic Condition","mm","2010M4","19.3"
"Iringa","Climatic Condition","mm","2010M5","0"
"Iringa","Climatic Condition","mm","2010M6","0"
"Iringa","Climatic Condition","mm","2010M7","0"
"Iringa","Climatic Condition","mm","2010M8","0"
"Iringa","Climatic Condition","mm","2010M9","0"
"Iringa","Climatic Condition","mm","2010M10","0"
"Iringa","Climatic Condition","mm","2010M11","5.4"
"Iringa","Climatic Condition","mm","2010M12","105.4"
"Iringa","Climatic Condition","mm","2012M1","76.1"
"Iringa","Climatic Condition","mm","2012M2","73.9"
"Iringa","Climatic Condition","mm","2012M3","80.7"
"Iringa","Climatic Condition","mm","2012M4","79.3"
"Iringa","Climatic Condition","mm","2012M5","2.7"
"Iringa","Climatic Condition","mm","2012M6","8.8"
"Iringa","Climatic Condition","mm","2012M7","0"
"Iringa","Climatic Condition","mm","2012M8","0"
"Iringa","Climatic Condition","mm","2012M9","0"
"Iringa","Climatic Condition","mm","2012M10","24.1"
"Iringa","Climatic Condition","mm","2012M11","38.3"
"Iringa","Climatic Condition","mm","2012M12","173.5"
"Iringa","Mean Maximum Temperature (°C)","°C","2010M1","26.3"
"Iringa","Mean Maximum Temperature (°C)","°C","2010M2","27.3"
"Iringa","Mean Maximum Temperature (°C)","°C","2010M3","27.9"
"Iringa","Mean Maximum Temperature (°C)","°C","2010M4","28"
"Iringa","Mean Maximum Temperature (°C)","°C","2010M5","27.2"
"Iringa","Mean Maximum Temperature (°C)","°C","2010M6","25.6"
"Iringa","Mean Maximum Temperature (°C)","°C","2010M8","26"
"Iringa","Mean Maximum Temperature (°C)","°C","2010M9","27.6"
"Iringa","Mean Maximum Temperature (°C)","°C","2010M10","30"
"Iringa","Mean Maximum Temperature (°C)","°C","2010M11","30.3"
"Iringa","Mean Maximum Temperature (°C)","°C","2010M12","28.1"
"Iringa","Mean Maximum Temperature (°C)","°C","2012M1","27.1"
"Iringa","Mean Maximum Temperature (°C)","°C","2012M2","26.2"
"Iringa","Mean Maximum Temperature (°C)","°C","2012M3","27.6"
"Iringa","Mean Maximum Temperature (°C)","°C","2012M4","27"
"Iringa","Mean Maximum Temperature (°C)","°C","2012M5","26.6"
"Iringa","Mean Maximum Temperature (°C)","°C","2012M6","26.2"
"Iringa","Mean Maximum Temperature (°C)","°C","2012M7","26.4"
"Iringa","Mean Maximum Temperature (°C)","°C","2012M8","26.7"
"Iringa","Mean Maximum Temperature (°C)","°C","2012M9","28.8"
"Iringa","Mean Maximum Temperature (°C)","°C","2012M10","29.9"
"Iringa","Mean Maximum Temperature (°C)","°C","2012M11","30"
"Iringa","Mean Maximum Temperature (°C)","°C","2012M12","28.7"
"Iringa","Mean Minimum Temperature (°C )","°C","2010M1","16.6"
"Iringa","Mean Minimum Temperature (°C )","°C","2010M2","16.7"
"Iringa","Mean Minimum Temperature (°C )","°C","2010M3","16.2"
"Iringa","Mean Minimum Temperature (°C )","°C","2010M4","16.3"
"Iringa","Mean Minimum Temperature (°C )","°C","2010M5","15.8"
"Iringa","Mean Minimum Temperature (°C )","°C","2010M6","13.9"
"Iringa","Mean Minimum Temperature (°C )","°C","2010M8","13.7"
"Iringa","Mean Minimum Temperature (°C )","°C","2010M9","14.1"
"Iringa","Mean Minimum Temperature (°C )","°C","2010M10","15.5"
"Iringa","Mean Minimum Temperature (°C )","°C","2010M11","16.2"
"Iringa","Mean Minimum Temperature (°C )","°C","2010M12","16.4"
"Iringa","Mean Minimum Temperature (°C )","°C","2012M1","16.6"
"Iringa","Mean Minimum Temperature (°C )","°C","2012M2","16.7"
"Iringa","Mean Minimum Temperature (°C )","°C","2012M3","16.2"
"Iringa","Mean Minimum Temperature (°C )","°C","2012M4","16.3"
"Iringa","Mean Minimum Temperature (°C )","°C","2012M5","15.8"
"Iringa","Mean Minimum Temperature (°C )","°C","2012M6","13.9"
"Iringa","Mean Minimum Temperature (°C )","°C","2012M7","13.1"
"Iringa","Mean Minimum Temperature (°C )","°C","2012M8","13.7"
