id,release_date,movie,production_budget,domestic_gross,worldwide_gross
81,"Dec 18, 1998",You've Got Mail,"$65,000,000","$115,821,495","$250,800,000"
82,"Dec 25, 2014",Unbroken,"$65,000,000","$115,637,895","$163,527,824"
83,"Jun 5, 2015",Spy!,"$65,000,000","$110,825,712","$232,585,748"
84,"Nov 5, 2010",Due Date,"$65,000,000","$100,539,043","$211,739,043"
85,"Jul 25, 2008",Step Brothers,"$65,000,000","$100,468,793","$128,468,793"
86,"Dec 15, 1995",Jumanji,"$65,000,000","$100,458,310","$262,758,310"
87,"Jul 17, 1998",The Mask of Zorro,"$65,000,000","$93,828,745","$233,700,000"
88,"Aug 4, 2000",Space Cowboys,"$65,000,000","$90,454,043","$128,874,043"
89,"Dec 19, 2014",Annie,"$65,000,000","$85,911,262","$139,829,625"
90,"May 28, 1993",Cliffhanger,"$65,000,000","$84,049,211","$255,000,000"
91,"Aug 12, 2016",Peteâs Dragon,"$65,000,000","$76,233,151","$137,768,975"
92,"Feb 9, 1996",Broken Arrow,"$65,000,000","$70,645,997","$148,345,997"
93,"Aug 9, 2006",World Trade Center,"$65,000,000","$70,278,893","$163,295,654"
94,"Jul 7, 2000",The Kid,"$65,000,000","$69,688,384","$69,688,384"
95,"Dec 19, 2003",Mona Lisa Smile,"$65,000,000","$63,803,100","$141,205,169"
96,"May 16, 2012",The Dictator,"$65,000,000","$59,650,222","$180,148,897"
97,"Jul 16, 1999",Eyes Wide Shut,"$65,000,000","$55,691,208","$104,267,443"
98,"Feb 17, 2012",This Means War,"$65,000,000","$54,760,791","$156,974,557"
99,"Feb 27, 2015",Focus,"$65,000,000","$53,862,963","$168,065,700"
100,"Dec 8, 2004",Blade: Trinity,"$65,000,000","$52,397,389","$131,353,165"
1,"Nov 21, 2012",Red Dawn,"$65,000,000","$44,806,783","$48,164,150"
2,"Dec 22, 2006",We Are Marshall,"$65,000,000","$43,545,364","$43,545,364"
3,"Sep 18, 2015",Everest,"$65,000,000","$43,482,270","$221,297,061"
4,"Sep 14, 2012",Resident Evil: Retribution,"$65,000,000","$42,345,531","$240,647,629"
5,"Mar 20, 1998",Primary Colors,"$65,000,000","$39,017,984","$39,017,984"
6,"Oct 15, 1999",Fight Club,"$65,000,000","$37,030,102","$100,851,705"
7,"Aug 22, 2008",Death Race,"$65,000,000","$36,316,032","$72,516,819"
8,"Oct 11, 1996",The Long Kiss Goodnight,"$65,000,000","$33,447,612","$33,447,612"
9,"Dec 8, 2000",Proof of Life,"$65,000,000","$32,598,931","$62,761,005"
10,"Nov 11, 2005",Zathura,"$65,000,000","$28,045,540","$58,545,540"
11,"Nov 26, 2003",The Missing,"$65,000,000","$26,900,336","$38,253,433"
12,"Jan 14, 2005",Elektra,"$65,000,000","$24,409,722","$56,824,633"
13,"Oct 23, 2009",Astro Boy,"$65,000,000","$19,551,067","$41,636,243"
14,"Jan 24, 2014","I, Frankenstein","$65,000,000","$19,075,290","$74,575,290"
15,"May 24, 1991",Hudson Hawk,"$65,000,000","$17,218,916","$17,218,916"
16,"Aug 22, 2014",Sin City: A Dame to Kill For,"$65,000,000","$13,757,804","$40,650,842"
17,"Dec 25, 2016",Live by Night,"$65,000,000","$10,378,555","$21,774,432"
18,"Oct 27, 2000",Lucky Numbers,"$65,000,000","$10,014,234","$10,014,234"
19,"Sep 23, 2005",Oliver Twist,"$65,000,000","$2,070,920","$26,670,920"
20,"Sep 4, 2015",Tian jiang xiong shi,"$65,000,000","$74,070","$122,519,874"
21,"Oct 26, 2018",Air Strike,"$65,000,000",$0,"$516,279"
22,"Jul 14, 2006",Little Man,"$64,000,000","$58,636,047","$101,636,047"
23,"Oct 8, 1999",Random Hearts,"$64,000,000","$31,054,924","$63,200,000"
24,"Dec 27, 2006",Perfume: The Story of a Murderer,"$63,700,000","$2,223,293","$133,603,463"
25,"Jun 11, 1993",Jurassic Park,"$63,000,000","$395,708,305","$1,038,812,584"
26,"Jul 25, 2002",Austin Powers in Goldmember,"$63,000,000","$213,117,789","$296,338,663"
27,"Apr 1, 2011",Hop,"$63,000,000","$108,085,305","$188,657,593"
28,"Sep 15, 2017",American Assassin,"$63,000,000","$36,249,674","$68,310,140"
29,"Jun 24, 1994",Wyatt Earp,"$63,000,000","$25,052,000","$25,052,000"
30,"Aug 3, 1994",Clear and Present Danger,"$62,000,000","$122,012,656","$207,500,000"
31,"Apr 21, 2000",U-571,"$62,000,000","$77,086,030","$127,630,030"
32,"Nov 17, 1995",The American President,"$62,000,000","$60,022,813","$107,822,813"
33,"Dec 25, 2015",The Hateful Eight,"$62,000,000","$54,117,416","$147,864,886"
34,"Jun 20, 2008",The Love Guru,"$62,000,000","$32,235,793","$40,159,017"
35,"Feb 23, 2001",3000 Miles to Graceland,"$62,000,000","$15,738,632","$18,708,848"
36,"Oct 3, 2014",Gone Girl,"$61,000,000","$167,767,189","$368,567,189"
37,"Mar 30, 2007",Blades of Glory,"$61,000,000","$118,594,548","$145,594,548"
38,"Sep 18, 2015",Maze Runner: The Scorch Trials,"$61,000,000","$81,697,192","$310,566,162"
39,"Aug 2, 2013",2 Guns,"$61,000,000","$75,612,460","$132,493,015"
40,"Jan 26, 2018",Maze Runner: The Death Cure,"$61,000,000","$58,032,443","$265,878,536"
41,"Jan 11, 2019",A Dogâs Way Home,"$61,000,000","$41,952,715","$81,149,689"
42,"Feb 19, 2016",Mei Ren Yu,"$60,720,000","$3,229,457","$554,516,671"
43,"Dec 22, 2004",Meet the Fockers,"$60,000,000","$279,167,575","$516,567,575"
44,"Feb 7, 2014",The Lego Movie,"$60,000,000","$257,784,718","$457,729,388"
45,"Mar 9, 2007",300,"$60,000,000","$210,614,939","$454,161,935"
46,"Mar 2, 2007",Wild Hogs,"$60,000,000","$168,213,584","$253,555,383"
47,"Dec 25, 2008",Marley & Me,"$60,000,000","$143,153,751","$247,812,011"
48,"Dec 10, 1999",The Green Mile,"$60,000,000","$136,801,374","$290,701,374"
49,"Jun 5, 1998",The Truman Show,"$60,000,000","$125,618,201","$264,118,201"
50,"Sep 9, 2016",Sully,"$60,000,000","$125,070,033","$238,524,556"
51,"Jun 14, 2002",The Bourne Identity,"$60,000,000","$121,468,960","$214,357,371"
52,"Oct 9, 2009",Couples Retreat,"$60,000,000","$109,205,660","$172,450,423"
53,"Nov 17, 1995",Goldeneye,"$60,000,000","$106,429,941","$356,429,941"
54,"May 30, 2003",The Italian Job,"$60,000,000","$106,126,012","$176,262,839"
55,"May 9, 2003",Daddy Day Care,"$60,000,000","$104,148,781","$164,285,587"
56,"Jun 18, 1999",The General's Daughter,"$60,000,000","$102,705,852","$149,705,852"
57,"Dec 18, 1998",The Prince of Egypt,"$60,000,000","$101,413,188","$218,613,188"
58,"Aug 6, 2004",Collateral,"$60,000,000","$100,170,152","$217,670,152"
59,"Jul 4, 2001",Cats & Dogs,"$60,000,000","$93,375,151","$200,700,000"
60,"Dec 20, 2002",Two Weeks Notice,"$60,000,000","$93,354,918","$199,043,309"
61,"Oct 2, 1998",Antz,"$60,000,000","$90,757,863","$152,457,863"
62,"Apr 19, 2002",The Scorpion King,"$60,000,000","$90,580,000","$165,890,634"
63,"Oct 15, 2010",Red,"$60,000,000","$90,380,162","$196,439,693"
64,"Mar 5, 2004",Starsky & Hutch,"$60,000,000","$88,200,225","$170,200,225"
65,"Jun 27, 1990",Days of Thunder,"$60,000,000","$82,670,733","$157,670,733"
66,"Dec 21, 2005",Cheaper by the Dozen 2,"$60,000,000","$82,571,173","$135,015,330"
67,"Aug 13, 2010",Eat Pray Love,"$60,000,000","$80,574,010","$206,598,789"
68,"Dec 21, 2012",Jack Reacher,"$60,000,000","$80,070,736","$217,370,736"
69,"Apr 23, 2004",Man on Fire,"$60,000,000","$77,906,816","$130,968,579"
70,"Dec 22, 2000",The Family Man,"$60,000,000","$75,764,085","$124,715,863"
71,"Sep 9, 2011",Contagion,"$60,000,000","$75,658,097","$137,551,594"
72,"Dec 22, 1999",Any Given Sunday,"$60,000,000","$75,530,832","$100,230,832"
73,"May 15, 1998",The Horse Whisperer,"$60,000,000","$75,383,563","$186,883,563"
74,"Feb 6, 2009",Coraline,"$60,000,000","$75,286,229","$126,037,057"
75,"Oct 1, 2004",Ladder 49,"$60,000,000","$74,541,707","$102,332,848"
76,"Jul 28, 1999",Deep Blue Sea,"$60,000,000","$73,648,228","$165,048,228"
77,"Oct 28, 2009",Michael Jackson's This Is It,"$60,000,000","$72,091,016","$252,091,016"
78,"Jan 17, 2003",Kangaroo Jack,"$60,000,000","$66,723,216","$90,723,216"
79,"Jun 13, 2008",The Happening,"$60,000,000","$64,506,874","$162,778,384"
80,"Mar 4, 2016",London Has Fallen,"$60,000,000","$62,524,260","$195,194,085"
81,"Apr 7, 2000",Rules of Engagement,"$60,000,000","$61,322,858","$71,719,931"
82,"Mar 10, 2006",The Shaggy Dog,"$60,000,000","$61,123,569","$87,123,569"
83,"Nov 22, 1996",Jingle All the Way,"$60,000,000","$60,592,389","$129,832,389"
84,"Apr 2, 2004",Hellboy,"$60,000,000","$59,623,958","$99,823,958"
85,"Oct 21, 2016",Jack Reacher: Never Go Back,"$60,000,000","$58,697,076","$159,946,489"
86,"May 25, 2017",Baywatch,"$60,000,000","$58,060,186","$175,863,783"
87,"Dec 25, 1998",A Civil Action,"$60,000,000","$56,709,981","$56,709,981"
88,"Dec 25, 2015",Joy,"$60,000,000","$56,451,232","$101,134,059"
89,"Aug 17, 2012",ParaNorman,"$60,000,000","$56,003,051","$108,119,662"
90,"Nov 14, 1997",The Jackal,"$60,000,000","$54,956,941","$159,356,941"
91,"Dec 25, 2003",Paycheck,"$60,000,000","$53,789,313","$98,819,789"
92,"Mar 1, 1996",Up Close & Personal,"$60,000,000","$51,045,801","$100,645,801"
93,"Dec 19, 2008",The Tale of Despereaux,"$60,000,000","$50,877,145","$90,482,317"
94,"Sep 26, 2014",The Boxtrolls,"$60,000,000","$50,837,305","$111,946,251"
95,"Aug 4, 2017",The Dark Tower,"$60,000,000","$50,701,325","$113,461,527"
96,"Sep 27, 2002",The Tuxedo,"$60,000,000","$50,586,000","$104,429,625"
97,"Jan 17, 2014",Jack Ryan: Shadow Recruit,"$60,000,000","$50,577,412","$131,377,412"
98,"Jul 14, 1995",Under Siege 2: Dark Territory,"$60,000,000","$50,024,083","$104,324,083"
99,"Mar 24, 2005",Miss Congeniality 2: Armed and Fabulous,"$60,000,000","$48,478,006","$101,382,396"
100,"Dec 25, 2018",Vice,"$60,000,000","$47,836,282","$70,883,171"
1,"Nov 26, 1997",Alien: Resurrection,"$60,000,000","$47,795,018","$160,700,000"
2,"Mar 23, 2007",Shooter,"$60,000,000","$47,003,582","$95,538,560"
3,"Oct 16, 1998",Practical Magic,"$60,000,000","$46,850,558","$68,336,997"
4,"Jan 11, 2013",Gangster Squad,"$60,000,000","$46,000,903","$104,100,903"
5,"Apr 7, 2017",Smurfs: The Lost Village,"$60,000,000","$45,020,282","$197,578,586"
6,"Oct 12, 2018",First Man,"$60,000,000","$44,936,545","$105,203,825"
7,"Jun 19, 2009",Year One,"$60,000,000","$43,337,279","$57,604,723"
8,"Jan 29, 2010",Edge of Darkness,"$60,000,000","$43,313,890","$82,812,456"
9,"Dec 13, 2002",Star Trek: Nemesis,"$60,000,000","$43,254,409","$67,312,826"
10,"Feb 19, 2002",Reign of Fire,"$60,000,000","$43,061,982","$82,150,183"
11,"Nov 20, 2009",Planet 51,"$60,000,000","$42,194,060","$108,996,113"
12,"Mar 20, 2009",Duplicity,"$60,000,000","$40,572,825","$81,079,566"
13,"Sep 12, 2008",Righteous Kill,"$60,000,000","$40,081,410","$78,481,410"
14,"Dec 11, 2009",Invictus,"$60,000,000","$37,491,364","$124,514,011"
15,"Apr 17, 2009",State of Play,"$60,000,000","$37,017,955","$88,832,210"
16,"Feb 12, 1999",My Favorite Martian,"$60,000,000","$36,850,101","$36,850,101"
17,"Apr 21, 2006",The Sentinel,"$60,000,000","$36,280,697","$78,080,697"
18,"Sep 21, 2012",Trouble with the Curve,"$60,000,000","$35,763,137","$47,818,913"
19,"Oct 10, 2003",Intolerable Cruelty,"$60,000,000","$35,327,628","$121,327,628"
20,"Jan 10, 1997",The Relic,"$60,000,000","$33,956,608","$33,956,608"
21,"Apr 3, 1998",Mercury Rising,"$60,000,000","$32,983,332","$32,983,332"
22,"Sep 15, 2000",Almost Famous,"$60,000,000","$32,522,352","$47,371,191"
23,"Feb 8, 2019",Cold Pursuit,"$60,000,000","$32,138,862","$62,599,159"
24,"Dec 6, 2002",Analyze That,"$60,000,000","$32,122,249","$54,994,757"
25,"Apr 24, 2009",The Soloist,"$60,000,000","$31,853,584","$38,522,450"
26,"Aug 21, 2013",The Mortal Instruments: City of Bones,"$60,000,000","$31,165,421","$75,965,567"
27,"Nov 3, 2000",The Legend of Bagger Vance,"$60,000,000","$30,695,227","$39,235,486"
28,"Feb 22, 2002",Dragonfly,"$60,000,000","$30,063,805","$30,063,805"
29,"May 13, 2011",Priest,"$60,000,000","$29,136,626","$84,154,026"
30,"Jun 16, 2006",Garfield: A Tail of Two Kitties,"$60,000,000","$28,426,747","$147,985,373"
31,"Apr 29, 2005",XXX: State of the Union,"$60,000,000","$26,873,932","$71,073,932"
32,"Aug 15, 1997",Event Horizon,"$60,000,000","$26,673,242","$26,673,242"
33,"Jul 2, 2003",Sinbad: Legend of the Seven Seas,"$60,000,000","$26,483,452","$80,767,884"
34,"Jul 8, 2005",Dark Water,"$60,000,000","$25,473,093","$49,473,093"
35,"Aug 14, 1998",The Avengers,"$60,000,000","$23,385,416","$48,585,416"
36,"Sep 15, 2006",The Black Dahlia,"$60,000,000","$22,672,813","$49,238,525"
37,"Mar 26, 1999",EDtv,"$60,000,000","$22,508,689","$35,319,689"
38,"Dec 25, 2008",The Spirit,"$60,000,000","$19,806,188","$39,006,188"
39,"Oct 19, 2001",The Last Castle,"$60,000,000","$18,208,078","$20,541,668"
40,"Jan 23, 2009",Inkheart,"$60,000,000","$17,303,424","$66,655,938"
41,"Jan 14, 2000",Supernova,"$60,000,000","$14,218,868","$14,816,494"
42,"Sep 22, 2006",Flyboys,"$60,000,000","$13,090,630","$14,816,379"
43,"Feb 14, 2014",Winterâs Tale,"$60,000,000","$12,600,231","$29,575,033"
44,"Oct 9, 1998",Holy Man,"$60,000,000","$12,069,719","$12,069,719"
45,"Jul 11, 2008",Meet Dave,"$60,000,000","$11,803,254","$50,648,806"
46,"Aug 12, 2005",The Great Raid,"$60,000,000","$10,166,502","$10,597,070"
47,"Feb 24, 2017",Rock Dog,"$60,000,000","$9,420,546","$24,148,488"
48,"Jan 23, 2015",Mortdecai,"$60,000,000","$7,696,134","$30,396,134"
49,"Jan 11, 2008",In the Name of the King: A Dungeon Siege Tale,"$60,000,000","$4,775,656","$13,233,220"
50,"Oct 24, 2003",Beyond Borders,"$60,000,000","$4,426,297","$11,427,090"
51,"Feb 5, 2016",Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,"$60,000,000","$709,982","$194,058,503"
52,"Dec 11, 2015",The Ridiculous 6,"$60,000,000",$0,$0
53,"Nov 8, 2019",Midway,"$59,500,000",$0,$0
54,"Mar 23, 2018",Sherlock Gnomes,"$59,000,000","$43,242,871","$87,527,651"
55,"Jan 25, 2019",The Kid Who Would Be King,"$59,000,000","$16,790,790","$28,348,446"
56,"Feb 12, 2016",Deadpool,"$58,000,000","$363,070,709","$801,025,593"
57,"Dec 25, 2014",American Sniper,"$58,000,000","$350,126,372","$547,326,372"
58,"Oct 16, 2015",Goosebumps,"$58,000,000","$80,069,458","$158,905,324"
59,"May 25, 1988",Rambo III,"$58,000,000","$53,715,611","$188,715,611"
60,"Dec 15, 1995",Sabrina,"$58,000,000","$53,458,319","$87,100,000"
61,"Jan 20, 2012",Red Tails,"$58,000,000","$49,876,377","$50,365,498"
62,"Sep 16, 2005",Just Like Heaven,"$58,000,000","$48,318,130","$100,687,083"
63,"Jun 7, 2013",The Internship,"$58,000,000","$44,672,764","$93,672,764"
64,"Apr 28, 2000",The Flintstones in Viva Rock Vegas,"$58,000,000","$35,231,365","$59,431,365"
65,"Apr 4, 2008",Leatherheads,"$58,000,000","$31,373,938","$41,348,628"
66,"Mar 24, 2017",Life,"$58,000,000","$30,234,022","$100,929,666"
67,"Dec 18, 2009",Did You Hear About the Morgans?,"$58,000,000","$29,580,087","$80,480,566"
68,"Dec 12, 2008","Che, Part 1: The Argentine","$58,000,000","$1,802,521","$31,627,370"
69,"May 30, 2008",Sex and the City,"$57,500,000","$152,647,258","$415,247,258"
70,"Sep 10, 2010",Resident Evil: Afterlife,"$57,500,000","$60,128,566","$295,874,190"
71,"Jun 15, 2012",That's My Boy,"$57,500,000","$36,931,089","$58,085,235"
72,"Oct 17, 1997",Devil's Advocate,"$57,000,000","$61,007,424","$153,007,424"
73,"Feb 17, 2012",Ghost Rider: Spirit of Vengeance,"$57,000,000","$51,774,002","$149,217,355"
74,"May 31, 1996",Dragonheart,"$57,000,000","$51,364,680","$104,364,680"
75,"Nov 12, 2004",After the Sunset,"$57,000,000","$28,328,132","$38,329,114"
76,"Aug 17, 2001",Captain Corelli's Mandolin,"$57,000,000","$25,528,495","$62,097,495"
77,"Dec 25, 2014",Into the Woods,"$56,200,000","$128,002,372","$213,116,401"
78,"Apr 11, 2003",Anger Management,"$56,000,000","$135,560,942","$195,660,942"
79,"Mar 4, 2005",The Pacifier,"$56,000,000","$113,006,880","$198,006,880"
80,"Apr 2, 2004",Walking Tall,"$56,000,000","$46,213,824","$47,313,824"
81,"Jan 22, 2016",Zhuo yao ji,"$56,000,000","$32,766","$359,495,591"
82,"Jul 6, 1994",Forrest Gump,"$55,000,000","$330,151,138","$679,850,637"
83,"Dec 14, 2007",Alvin and the Chipmunks,"$55,000,000","$217,326,974","$362,605,033"
84,"Nov 2, 2018",Bohemian Rhapsody,"$55,000,000","$216,303,339","$894,985,342"
85,"Feb 11, 2005",Hitch,"$55,000,000","$177,784,257","$366,784,257"
86,"Oct 6, 2000",Meet the Parents,"$55,000,000","$166,225,040","$330,425,040"
87,"Dec 15, 2006",The Pursuit of Happyness,"$55,000,000","$162,586,036","$307,311,093"
88,"Jun 10, 1995",Pocahontas,"$55,000,000","$141,579,773","$347,100,000"
89,"Dec 15, 1978",Superman,"$55,000,000","$134,218,018","$300,200,000"
90,"Jun 28, 1996",The Nutty Professor,"$55,000,000","$128,814,019","$273,814,019"
91,"Feb 10, 2017",Fifty Shades Darker,"$55,000,000","$114,434,010","$381,398,492"
92,"Oct 11, 2013",Captain Phillips,"$55,000,000","$107,136,417","$220,648,184"
93,"Jul 16, 1997",George Of The Jungle,"$55,000,000","$105,263,257","$174,463,257"
94,"Aug 1, 2003",American Wedding,"$55,000,000","$104,354,205","$126,425,115"
95,"Nov 10, 2017",Murder on the Orient Express,"$55,000,000","$102,826,543","$345,922,730"
96,"Sep 26, 2014",The Equalizer,"$55,000,000","$101,530,738","$192,903,624"
97,"Feb 9, 2018",Fifty Shades Freed,"$55,000,000","$100,407,760","$371,350,619"
98,"May 26, 1995",Casper,"$55,000,000","$100,328,194","$282,300,000"
99,"Apr 9, 2010",Date Night,"$55,000,000","$98,711,404","$152,269,033"
100,"Dec 13, 2002",Maid in Manhattan,"$55,000,000","$93,932,896","$163,838,217"
1,"May 12, 1995",Crimson Tide,"$55,000,000","$91,387,195","$159,387,195"
2,"Sep 23, 2005",Flightplan,"$55,000,000","$89,706,988","$214,392,904"
3,"Dec 9, 1994",Disclosure,"$55,000,000","$83,015,089","$212,200,000"
4,"Apr 10, 1998",City of Angels,"$55,000,000","$78,750,909","$198,750,909"
5,"Jan 16, 2015",Paddington,"$55,000,000","$76,223,578","$258,789,097"
6,"Apr 28, 2006",R.V.,"$55,000,000","$71,724,497","$87,473,024"
7,"Oct 28, 1994",Stargate,"$55,000,000","$71,565,669","$196,565,669"
8,"Oct 10, 2003",Kill Bill: Volume 1,"$55,000,000","$70,098,138","$176,469,428"
9,"Jun 17, 2011",Mr. Poppers's Penguins,"$55,000,000","$68,224,452","$189,624,452"
10,"Aug 13, 1999",Bowfinger,"$55,000,000","$66,458,769","$98,699,769"
11,"Apr 16, 2004",Kill Bill: Volume 2,"$55,000,000","$66,207,920","$153,535,982"
12,"Dec 22, 1989",Tango & Cash,"$55,000,000","$63,408,614","$63,408,614"
13,"Jul 31, 1992",Death Becomes Her,"$55,000,000","$58,422,650","$149,022,650"
14,"May 26, 2000",Shanghai Noon,"$55,000,000","$56,932,305","$71,189,835"
15,"Mar 15, 1996",Executive Decision,"$55,000,000","$56,679,192","$122,079,192"
16,"Nov 1, 2013",Free Birds,"$55,000,000","$55,750,480","$110,387,072"
17,"May 22, 1992",Alien 3,"$55,000,000","$54,927,174","$158,500,000"
18,"Apr 18, 2008",The Forbidden Kingdom,"$55,000,000","$52,075,270","$129,075,270"
19,"Dec 22, 2004",The Phantom of the Opera,"$55,000,000","$51,225,796","$153,770,052"
20,"Mar 21, 2014",Muppets Most Wanted,"$55,000,000","$51,178,893","$79,312,301"
21,"Dec 25, 1996",Evita,"$55,000,000","$50,047,179","$151,947,179"
22,"Aug 19, 2016",Kubo and the Two Strings,"$55,000,000","$48,023,088","$77,548,122"
23,"Sep 25, 1998",Ronin,"$55,000,000","$41,610,884","$70,692,101"
24,"Nov 24, 2010",Burlesque,"$55,000,000","$39,440,655","$90,552,675"
25,"Oct 11, 1996",The Ghost and the Darkness,"$55,000,000","$38,564,422","$38,564,422"
26,"Oct 24, 2008",Changeling,"$55,000,000","$35,739,802","$113,805,580"
27,"Jul 27, 2012",The Watch,"$55,000,000","$34,353,000","$67,130,045"
28,"Mar 14, 2003",The Hunted,"$55,000,000","$34,234,008","$47,213,095"
29,"Jun 4, 1999",Instinct,"$55,000,000","$34,105,207","$34,105,207"
30,"Dec 12, 2003",Stuck On You,"$55,000,000","$33,832,741","$63,537,164"
31,"Feb 29, 2008",Semi-Pro,"$55,000,000","$33,479,698","$43,980,363"
32,"Feb 23, 2018",Annihilation,"$55,000,000","$32,732,301","$43,070,915"
33,"Oct 16, 2015",Crimson Peak,"$55,000,000","$31,090,320","$74,966,854"
34,"Apr 27, 2012",The Pirates! Band of Misfits,"$55,000,000","$31,051,126","$136,143,605"
35,"Dec 2, 2005",Aeon Flux,"$55,000,000","$25,857,987","$53,913,573"
36,"Aug 2, 1996",Chain Reaction,"$55,000,000","$21,226,204","$60,209,334"
37,"Aug 16, 1996",The Fan,"$55,000,000","$18,582,965","$18,582,965"
38,"Oct 12, 2007",Elizabeth: The Golden Age,"$55,000,000","$16,285,240","$74,870,866"
39,"Jun 12, 2009",Imagine That,"$55,000,000","$16,222,392","$22,438,144"
40,"Feb 21, 2003",Gods and Generals,"$55,000,000","$12,882,934","$12,923,936"
41,"Jan 10, 1997",Turbulence,"$55,000,000","$11,532,774","$11,532,774"
42,"Feb 1, 2013",Bullet to the Head,"$55,000,000","$9,489,829","$22,597,969"
43,"Sep 22, 2006",All the King's Men,"$55,000,000","$7,221,458","$9,521,458"
44,"Jul 30, 2004",Thunderbirds,"$55,000,000","$6,768,055","$28,231,444"
45,"Nov 26, 2004",Un long dimanche de fianÃ§ailles,"$55,000,000","$6,167,817","$69,759,296"
46,"May 4, 2007",Lucky You,"$55,000,000","$5,755,286","$6,521,829"
47,"Jul 22, 1998",Lolita,"$55,000,000","$1,147,784","$1,147,784"
48,"Sep 20, 2002",Eye See You,"$55,000,000","$79,161","$1,807,990"
49,"Jun 19, 1981",Superman II,"$54,000,000","$108,185,706","$108,185,706"
50,"Mar 22, 2002",Blade 2,"$54,000,000","$81,676,888","$154,338,601"
51,"Jul 14, 2006","You, Me and Dupree","$54,000,000","$75,802,010","$130,402,010"
52,"Dec 19, 2008",Seven Pounds,"$54,000,000","$69,951,824","$166,617,328"
53,"Dec 25, 1990",The Godfather: Part III,"$54,000,000","$66,520,529","$66,520,529"
54,"Oct 14, 2005",Elizabethtown,"$54,000,000","$26,850,426","$50,719,373"
55,"Aug 1, 2003",Gigli,"$54,000,000","$6,087,542","$7,126,002"
56,"Jun 16, 2000",Shaft,"$53,012,938","$70,327,868","$107,190,108"
57,"Aug 5, 2005",The Dukes of Hazzard,"$53,000,000","$80,270,227","$109,848,461"
58,"Oct 16, 2009",Law Abiding Citizen,"$53,000,000","$73,357,727","$131,159,781"
59,"Sep 18, 2015",Black Mass,"$53,000,000","$62,575,678","$98,837,872"
60,"Nov 14, 1997",Anastasia,"$53,000,000","$58,403,409","$139,801,096"
61,"May 18, 2001",Moulin Rouge,"$53,000,000","$57,386,369","$179,200,588"
62,"Nov 2, 2001",Domestic Disturbance,"$53,000,000","$45,207,112","$54,207,112"
63,"Oct 20, 2006",Flags of Our Fathers,"$53,000,000","$33,602,376","$63,657,941"
64,"Apr 6, 2007",Grindhouse,"$53,000,000","$25,031,037","$50,187,789"
65,"Oct 16, 1998",Beloved,"$53,000,000","$22,852,487","$22,852,487"
66,"Dec 19, 2012",Zero Dark Thirty,"$52,500,000","$95,720,716","$134,612,435"
67,"Dec 25, 2002",Catch Me if You Can,"$52,000,000","$164,606,800","$355,612,291"
68,"Jul 18, 2008",Mamma Mia!,"$52,000,000","$144,130,063","$615,748,772"
69,"Jun 2, 2006",The Break-Up,"$52,000,000","$118,703,275","$205,727,307"
70,"Feb 12, 2010",Valentine's Day,"$52,000,000","$110,485,654","$217,569,328"
71,"Nov 22, 1995",Casino,"$52,000,000","$42,438,300","$110,400,000"
72,"Aug 5, 2011",The Change-Up,"$52,000,000","$37,243,418","$75,997,067"
73,"Dec 23, 1998",The Thin Red Line,"$52,000,000","$36,400,491","$97,709,034"
74,"Dec 22, 1999",Man on the Moon,"$52,000,000","$34,580,635","$47,407,635"
75,"Feb 5, 2010",From Paris With Love,"$52,000,000","$24,077,427","$53,139,168"
76,"Apr 16, 2003",Bulletproof Monk,"$52,000,000","$23,010,607","$23,010,607"
77,"Jun 23, 2000","Me, Myself & Irene","$51,000,000","$90,570,999","$149,270,999"
78,"Aug 4, 2006",Barnyard: The Original Party Animals,"$51,000,000","$72,779,000","$118,583,844"
79,"Aug 17, 2018",Alpha,"$51,000,000","$35,851,379","$99,624,873"
80,"Nov 22, 2006",Deck the Halls,"$51,000,000","$35,093,569","$46,815,807"
81,"Mar 4, 2011",The Adjustment Bureau,"$50,200,000","$62,495,645","$126,931,325"
82,"Nov 20, 2009",The Twilight Saga: New Moon,"$50,000,000","$296,623,634","$687,557,727"
83,"May 18, 2001",Shrek,"$50,000,000","$267,655,011","$491,812,794"
84,"Jun 29, 2012",Ted,"$50,000,000","$218,665,740","$556,016,627"
85,"Jun 13, 2014",22 Jump Street,"$50,000,000","$191,719,337","$331,333,876"
86,"Jun 14, 1991",Robin Hood: Prince of Thieves,"$50,000,000","$165,493,908","$390,500,000"
87,"Dec 13, 1996",Jerry Maguire,"$50,000,000","$153,952,592","$274,000,000"
88,"Dec 25, 2015",Daddyâs Home,"$50,000,000","$150,357,137","$242,757,137"
89,"Dec 24, 1997",As Good as it Gets,"$50,000,000","$148,478,011","$314,111,923"
90,"Dec 25, 1998",Patch Adams,"$50,000,000","$135,014,968","$202,173,000"
91,"Jun 17, 2016",Central Intelligence,"$50,000,000","$127,440,871","$217,194,805"
92,"Dec 18, 2013",Anchorman 2: The Legend Continues,"$50,000,000","$127,352,707","$172,185,754"
93,"Jun 10, 2011",Super 8,"$50,000,000","$127,004,179","$257,972,745"
94,"Jun 28, 2002",Mr. Deeds,"$50,000,000","$126,293,452","$171,269,535"
95,"Mar 17, 2000",Erin Brockovich,"$50,000,000","$125,548,685","$257,805,243"
96,"Nov 21, 2018",Creed II,"$50,000,000","$115,715,889","$213,591,522"
